가수명,노래제목,발매일,가사,좋아요수,순위
서영은,혼자가 아닌 나,2004-01-06,이제 다시 울지 않겠어 더는 슬퍼하지 않아 다신 외로움에 슬픔에 난 흔들리지 않겠어 더는 약해지지 않을께 많이 아파도 웃을꺼야 그런 내가 더 슬퍼보여도 날 위로하지마 가끔 나 욕심이 많아서  울어야했는지 몰라 행복은 늘 멀리있을때 커보이는 걸 힘이 들땐 하늘을 봐 나는 항상 혼자가 아니야 비가 와도 모진 바람 불어도 다시 햇살은 비추니까 눈물나게 아픈날엔 크게 한번만 소리를 질러봐 내게 오려던 연약한 슬픔이 또 달아날 수 있게 가끔 어제가 후회되도 난 지금 사는 오늘이 내일 보면 어제가 되는 하루일테니 힘이 들땐 하늘을 봐 나는 항상 혼자가 아니야 비가 와도 모진 바람 불어도 다시 햇살은 비추니까 눈물나게 아픈날엔 크게 한번만 소리를 질러봐 내게 오려던 연약한 슬픔이 또 달아날 수 있게 앞만 보고 걸어갈께때론 혼자서 뛰어라도 갈께내게 멈추던 조그만 슬픔도날 따라오지 않게,43368,511
양요섭,텔레파시 (상수리나무 아래 X 양요섭 X 은하),2022-06-14,어쩌면 넌나에게 말하지 않아도내 맘 가득히전하고 있나 봐우연일까 정말소소한 내 삶에 너란 기적너도 나와 같을까아침에 일어나햇살이 눈부시게 참 좋을 때난 그럴 때 Uhm온 거리에 피어난꽃향기를 스쳐지날 때문득 니가 떠올라순간순간마다 느껴져넌 나에게 난 너에게가득한걸망설이지 말고Call me by your name내 세상은 끝없이널 향해 All day하루 종일 보고 싶어하는 거 알아 너의 그 맘나와 같아길었던 하루어두운 밤 지쳐잠들 때 너를 떠올려늘 그때마다 넌 내게어떻게 알았는지 내게다가와 안아주는 너순간순간마다 느껴져넌 나에게 난 너에게가득한걸망설이지 말고Call me by your name내 세상은 끝없이널 향해 All day하루 종일 보고 싶어하는 거 알아 너의 그 맘나와 같아어쩌면 넌나에게 말하지 않아도내 맘 가득히전하고 있나 봐우연일까 정말소소한 내 삶에 너란 기적너도 나와 같을까망설이지 말고Call me by your name내 세상은 끝없이널 향해 All day하루 종일 보고 싶어하는 거 알아 너의 그 맘나와 같아You are my sweetest dreamYou are my every moment아무 말 안 해도 너의 맘을 알아너는 나에게나는 너에게머무른 꿈속에서매일 더 Love me more,7084,512
김동률,감사,2012-09-05,눈부신 햇살이 오늘도 나를 감싸며  살아있음을 그대에게  난 감사해요부족한 내 마음이 누구에게  힘이 될 줄은 그것만으로 그대에게  난 감사해요그 누구에게도 내 사람이란게  부끄럽지 않게 날 사랑할게요 단 한순간에도 나의  사람이란걸 후회하지 않도록  그댈 사랑할게요 이제야 나 태어난 그 이유를  알 것만 같아요  그대를 만나 죽도록  사랑하는게  누군가 주신 나의 행복이죠 그 어디에서도 나의 사람인걸 잊을 수 없도록 늘 함께 할게요 단 한순간에도  나의 사랑이란걸  아파하지 않도록 그대 사랑할게요 이제야 나 태어난 그 이유를 알 것만 같아요 그대를 만나  죽도록 사랑하는게  누군가 주신 내 삶의 이유라면 더이상 나에게 그 무엇도  바랄게 없어요 지금처럼만 서로를 사랑하는게  누군가 주신 나의 행복이죠  누군가 주신 나의 행복이죠,89045,513
포맨 (4MEN),너의 눈에 별이 떠 있어,2022-06-13,너의 눈에 별이 떠 있어그 빛이 날 부르고 있어날 봐요그렇게 아른대게 웃으면I'm into you푸른빛이 밀려온다꿈을 꾸듯 떨려온다너에게로 빠져든다너의 눈에 별이 떠 있어그 빛 속에 내가 서 있어소리 없이 네가 내게 떨어진다내 가슴에 안긴다My love My light My star까만 밤이 눈부신 이유모든 빛이 새로 시작된 이유네가 내게 쏟아진다나의 품에 번진다My love My lightMy star 널 사랑해아나요입술에 그대 숨이 닿으면Blow in my heart바람빛이 불어온다달콤함에 젖어 든다너에게로 빠져든다너의 눈에 별이 떠 있어그 빛 속에 내가 서 있어소리 없이 네가 내게 떨어진다내 가슴에 안긴다My love My lightMy star 널 사랑해눈을 감아도 왜 눈이 부신 걸까I'll be your nightYou Love me like a shining star난 너의 품에 안기고 싶어그 품 안에 숨 쉬고 싶어찬란하게 네가 내게 달려온다나를 끌어안는다You're mine I'm yours Forever까만 밤이 눈부신 이유모든 빛이 새로 시작된 이유네가 내게 쏟아진다나의 품에 번진다My love My lightMy star 널 사랑해,2005,514
신용재 (2F),가수가 된 이유,2012-07-27,인터넷에 나를 쳐보면 이제 내 노래가 나와내가 왜 굳이 이렇게가수가 된지 넌 알까유명하고팠던 이유는오직 단 하나뿐이니까니가 날 보고 날 알아듣고내 생각하라고TV에 나와 노래해혹시 니가 볼까봐날 들으면 날 본다면날 찾아줄까봐기를 쓰고 노래해그 옛날의 널 위해그때 다 하지 못했던내 맘을 담아서이렇게 노래해못해부터 살다가까지니가 없던 건 없으니까솔직히 터놓고 말해모두 너와 내 얘기니까내 노랠 듣고 내가 울고내가 슬퍼하고혼자 미치는 나의 이유를넌 알 것 같은데TV에 나와 노래해혹시 니가 볼까봐날 들으면 날 본다면날 찾아줄까봐기를 쓰고 노래해그 옛날의 널 위해그때 다 하지 못했던내 맘을 담아서내 아픔과 내 눈물과내 진심을 다해내 맘 전한다면너에게 들릴까이 몇 분짜리 노래가별거 아닌 가사가니 귓가에 니 마음속에울려 퍼지기를미치도록 기도해 제발니가 듣기를이런 내 맘이 들리면너 돌아오라고눈물로 노래해,97955,515
지아,바보에게 바보가,2017-12-12,너무 걱정하지는 마 보란 듯이 살아볼 거야후회는 사치일 뿐이야 다시 시작해볼게나 어제 또 울었어 나 어제 또 슬펐어왜 이런 바보를 사랑한 거니니 마음이 예뻐서 니 사랑이 고마워이젠 니 손을 잡고 다시 태어날 거야바보도 사랑합니다보내주신 이 사람 이제 다시는 울지 않을 겁니다나 이제 목숨을 걸고 세상 아픔에서 지켜줄게요이 사람을 사랑합니다널 위한다는 그 이유로 너를 보낼 뻔했어나 그렇게 바보야 넌 내 사랑 바보고서로를 많이도 울게 했었지니 사랑이 없다면 널 만날 수 없다면아마 나는 평생을 후회하며 살 거야바보도 사랑합니다보내주신 이 사람 이제 다시는 울지 않을 겁니다나 이제 목숨을 걸고 세상 아픔에서 지켜줄게요이 사람을그대가 울 때면 내 가슴은 무너져요무슨 남자의 눈물이 나처럼 서러워노력해 볼게 널 위해 살아갈게나약한 마음 따윈 모두 버릴게우리의 사랑을 위해 너의 손을 잡고 놓지 않을게사랑하는 내 사랑 바보야,32285,516
윤민수(바이브),그녀를 찾아주세요,2022-04-03,안녕 안녕 안녕사랑한 그녀가 보내 달라 하네요안녕 안녕 안녕 밤하늘 별들아그녀 가는 길 비춰주길 Good bye하나만 알려주세요어디에 살고 있을지몇 년쯤이야지금의 눈물쯤은 참을 수 있겠죠시간이 흘러간 데도십 년이 지나간 데도그때도 사랑이면 난 어떡합니까어디서 그녀를 찾아야 합니까안녕 안녕 안녕돌아선 그녀가 멀어져만 가네요안녕 안녕 안녕 부탁해 빗물아그녀 눈물을 씻겨하나만 알려주세요어디에 살고 있을지몇 년쯤이야지금의 눈물쯤은 참을 수 있겠죠시간이 흘러간 데도십 년이 지나간 데도그때도 사랑이면 난 어떡합니까어디서 그녀를 찾아야 합니까들어줘요 내 사랑을도와줘요 누구든지알고 있다면그 누구라도 데려다줘요How do I live하나만 전해주세요그녀와 마주친다면 적어도 한땐그녀의 전부였던 나의 그 이름을그녀도 기억한다면그녀도 울고 있다면그리움 하나라도 꼭 남아있다면내가 갈게요 날 기다려줘요그녀를 꼭 찾아주세요,6449,517
INO,해요,2001-03-16,그녀와 나는요 그땐 참 어렸어요많이 사랑했고 때론 많이 다퉜었죠지금 생각하면 모두 내 잘못이죠마지막 그날도 그녀는 울었어나는 그녈 잡지 못했죠지금까지도 너무 후회가 되요그 후로 누굴 사랑한적 없어아직은 그녀와 나는요언젠가 만날거죠변해버린 모습 변해버린시간 속에하지만 괜찮아 내 눈엔 아름답던예전 모습 그대로 일거예요그녀도 날 못 잊을거야 나는 믿어요그만큼 사랑했죠그래서 우린 한 번은 만나야만 해요그녀의 친구라도 이 노랠 듣는다면그녀에게 전해줘요내가 아직 사랑한다고우리가 처음 만난 그 시간 그 자리에내가 매일 기다린다고언제라도그녀도 날 못 잊을거야 나는 믿어요그만큼 사랑했죠그래서 우린 한 번은 만나야만 해요그녀의 친구라도 이 노랠 듣는다면그녀에게 전해줘요내가 아직 사랑한다고우리가 처음 만난 그 시간 그 자리에내가 매일 기다린다고그녀의 친구라도 이 노랠 듣는다면우리가 처음 만난 그 시간 그 자리에,22854,518
제이세라,언제나 사랑해,2011-02-24,둘이 손잡고 걸을때마주보며 또 웃을때사랑한다 말하지 않아도 알아널 만나러 가는길에내 입가에 늘 환한 미소만이흐르고 있어사랑해 너를 사랑해눈물나도록 사랑해저기 밤하늘의 별보다보석보다 니가 더 소중해얼마나 내가 얼마나 너를 사랑하는지내 모든걸 너에게 줄께속상하고 힘이들때열이나고 아파할때옆에서 늘 힘이되준 사람 너야집에 돌아오는 길에내 귓가엔 늘 너의 음성만이흐르고 있어사랑해 너를 사랑해눈물나도록 사랑해저기 밤하늘의 별보다보석보다 니가 더 소중해얼마나 내가 얼마나 너를 사랑하는지내 모든걸 너에게 줄께세월지나 많이 변했을때미운 나의 손을 잡아줄 사람먼 훗날 아주 먼 훗날우리 눈감는 그날에나를 사랑해준 너에게 고맙다고후회는 없다고사랑해 나만의 사랑다시 태어난대도내 사랑은 너하나 뿐야영원히 너를 사랑해,25254,519
정준일,첫 눈,2017-01-01,내 마음을한번만 만져줘요온종일 이렇게서늘해요겨울보다 차가운 하늘그아래 내가서 있으니눈물도 얼어버릴듯 해조용히 한번만불러줘요수없이 말하던내 이름을영원을 거슬러하루를 아니일분을 보게 돼도그럴수 있다면 견뎌낼게그 기다림 끝에그대가 서있어주길내겐 그림같았던그대와 기억아주 오래 기다렸던선물같은 하루긴 시간을 건너서네게 닿을게내 마음에 첫눈이던 그대넌 언제나 내겐 아득하다그대와의 시간 그 하루가내겐 왜 이렇게 아픈가요너의 옆에 내가 서 있고서로 웃을수 있는 하루그릴수 없어서 눈물나죠이게 꿈이라면내마음을 전해줄텐데내겐 그림같았던그대와 기억아주오래 기다렸던선물같은 하루긴 시간을 건너서네게 닿을게내 마음에 첫 눈이던 그대함께 울고 많이웃던 우리아름답고 찬란하게빛나던 시간되돌린다내겐 하루 같았던너와의 기억가슴뛰게 아름다웠던너와의 시간그대 입술에이젠 인사를 하죠그대 눈에그대의 숨결에부서지게 그대를 안는다조용히 한번만 들어봐요나직이 울리는 내 마음을,105454,520
태연 (TAEYEON),Gravity,2019-10-28,난 온기 없는 어둠 속을유영하듯 헤매어손을 내밀어도 결국돌아오는 공허함반복된 상처에 굳게또 맘을 잠그고 나 홀로 견디고그 순간 마주친 넌 따스한 느낌틈 사이로 어루만진 포근한 손길위태롭던 내게 넌 Gravity방황하던 날 강렬하게 이끈 힘외로운 시간들을 지나드디어 제자리를 찾아더 끌어안아줘 날위태롭던 내게 넌 Gravity늘 모르는 척했던 감정익숙했던 지난날넌 아무것도 묻지 않고늘 나의 곁을 지켰어길었던 시간들 지나결국엔 너였어 이대로 날 안아멀게만 느껴졌던 다정한 온기나 지금은 너로 인해 느낄 수 있어위태롭던 내게 넌 Gravity방황하던 날 강렬하게 이끈 힘외로운 시간들을 지나드디어 제자리를 찾아더 끌어안아줘 날위태롭던 내게 넌 Gravity항상 같은 곳에서 내 곁에서Yeah 전해준 온기날 지켜준 한 사람 단 한 사람Yeah 너라는 이유끝없이 넌 날 이끈 Gravity변함없이 날 따스하게 감싸지혼자인 시간들을 지나운명의 끝에서 널 만나더 끌어안아줘 날끝없이 넌 날 이끈 Gravity,64763,521
송하예,운명이 우릴 갈라놓아도,2022-06-12,그대의 품에 두눈을 감고슬픈 날들은 잊어요거친 세상에 지켜온 믿음그마음 하나 남아있다면운명이 우릴 갈라놓아도꼭 잡은 이손 놓치말아요찬란한 물결 꽃이 되는 사랑우우우우 one love그대의 품에 두눈을 감고아픈 날들을 잊어요바람속에서 지켜온 믿음그마음 하나 남아있다면운명이 우릴 갈라놓아도꼭 잡은 이손 놓치말아요찬란한 물결 꽃이 되는 사랑우우우우 one love이대로 부서진다해도그대곁에 있다면행복해운명이 잠든 저생에 만나꼭 잡은 이손 놓치말아요one love one love 그댄 나의 사랑우우우우 one loveone love,2781,522
김종국,제자리 걸음,2005-07-01,죽도록 힘겨워도몸서리치게 외로워도너를 그리워하지 않는 게더 쓸쓸한 일인데늘 네 생각 하나에 살고하룰 다 써도 모자라서다음 날도 그 다음 날에도더해가는 그리움에또 하루가 흘러 또 한 달이 흘러일년이라는 시간이 흘러자꾸만 느는 거짓말 같은 날이날 반기지만천 걸음을 가도 만 걸음을 걸어도난 언제나 제자리 걸음떠나고 싶어도 못 떠나네가 와줄까 봐네 소리에 심장이 멎고너의 미소에 몸이 굳어사랑한다 너를 사랑한다입술조차 떼기 전에또 하루가 흘러 또 한 달이 흘러일년이라는 시간이 흘러자꾸만 느는 거짓말 같은 말이날 반기지만천 걸음을 가도 만 걸음을 걸어도난 언제나 제자리 걸음떠나고 싶어도 못 떠나네가 와줄까 봐왜 항상 사랑은 받는너에게 관대한 거니이렇게 널 잊지 못한네 앞에서 눈물 나게 하면서잊는 것보다 아픈 게나은 거라 난 믿으니까안 돌아와도 돼 날 사랑 안 해도 돼넌 내 안에 제자리 걸음보내고 싶어도 못 보내널 사랑하니까,24640,523
나비 (Navi),잘 된 일이야,2011-01-19,Hello Hello Hello Hello HelloDon't cry Don't cry Don't cryDon't Hello가슴이 널 안 놔줘아무리 떼어내도계속 너를 잡고 안 놔줘아무리 잘라내도먼저 뒤돌아설 거면서왜 사랑하게 해눈물이 대체 무슨 죄야차라리 잘 됐어잘된 일이야아프게 상처만 줄 너라면더 힘들기 전에미워지기 전에지금이 좀 더 나을지도 몰라가슴아더 사랑하지 말아줘난 웃고 싶은데너를 잊고 싶은데내가 보내줄게잘 가라 내 사랑아아파도 웃으며 안녕질리지도 않나봐한없이 생각이 나정말 마르지도 않나봐한없이 눈물이 나결국 떠나 버릴 거면서왜 보고 싶게 해두 눈이 대체 무슨 죄야차라리 잘 됐어잘된 일이야아프게 상처만 줄 너라면더 힘들기 전에미워지기 전에지금이 좀 더 나을지도 몰라가슴아더 사랑하지 말아줘난 웃고 싶은데너를 잊고 싶은데내가 보내줄게잘 가라 내 사랑아아파도 웃으며 안녕Hello Hello Hello Hello HelloDon't cry Don't cry Don't cryDon't Hello괜찮아 사랑아나를 떠나도 웃으며 널 놓아줄게다 줬으니 됐어그냥 그걸로 됐어아마 언젠가는나의 곁이 그리워너도 아파 올 거야우는 날이 올 거야(가슴아)(더 사랑 하지 말아줘)난 웃고 싶은데(너를 잊고 싶은데)(내가 보내줄게)(잘 가라 내 사랑아)슬퍼도 웃으며 안녕,42202,524
