가수명,노래제목,발매일,가사,좋아요수,순위
포맨 (4MEN),살다가 한번쯤,2011-06-07,눈을 감기만 해도 눈물이 흘러니가 보여서 많이 보고싶어서I know 다 끝난 일인걸같은 공간 같은 시간같은 세상이지만어딜 봐도 어딜 가도너는 보이질 않아살다가 한번쯤은 마주치기를난 아직도 그곳에 살아어디서 그 어디서 무얼하든지건강하게 행복하게 살아살아있단 것으로 정말 고마워너의 소식이 내가 사는 이윤걸I know 다 끝난 일인걸다른 만남 다른 사람사랑해도 괜찮아누굴 만나 뭐가 됐건너만 행복하면 돼살다가 한번쯤은 마주치기를난 아직도 그곳에 살아어디서 그 어디서 무얼하든지건강하게 행복하게 살아한번만 딱 한번만 마주친다면꼭 이 말 전해줄거야태어나 너를 만나 고마웠다고잘살라고 꼭 행복하라고,46369,588
김동률,다시 사랑한다 말할까,2012-09-05,마치 어제 만난 것처럼 잘있었냔 인사가 무색할 만큼 괜한 우려였는지 서먹한 내가 되려 어색했을까어제 나의 전활 받고서 밤새 한숨도 못 자 엉망이라며 수줍게 웃는 얼굴  어쩌면 이렇게도 그대로일까그땐 우리 너무 어렸었다며 지난 얘기들로 웃음 짓다가아직 혼자라는 너의 그 말에 불쑥 나도 몰래 가슴이 시려 다시 사랑한다 말할까 조금 멀리 돌아왔지만  기다려왔다고  널 기다리는 게 나에게 제일  쉬운 일이라 시간이 가는 줄 몰랐다고 다시 사랑한다 말할까  여전히 난 부족하지만  받아주겠냐고 널 사랑하는 게 내 삶에 전부라 어쩔 수 없다고 말야 그땐 사랑인줄 몰랐었다며 가끔 내 소식을 들을 때마다항상 미안했단 너의 그 말에 불쑥 나도 몰래 눈물이 흘러 다시 사랑한다 말할까 언젠가는 내게 돌아올  운명이었다고 널 잊는다는 게 나에게 제일  힘든 일이라 생각조차 할 수 없었다고 다시 사랑한다 말할까 좋은 친구처럼 편하게  받아주겠냐고 다시 태어나도 널 사랑하는 게  내 삶에 이유란 말야 다시 사랑한다 말할까 조금 멀리 돌아왔지만  기다려왔다고  널 기다리는 게 나에겐  제일 쉬운 일이라 시간이 가는 줄 몰랐다고 다시 사랑한다 말할까 여전히 난 부족하지만  받아주겠냐고 널 사랑하는 게 내 삶에 전부라,72111,589
박효신,사랑한 후에,2012-03-22,나의 기억 어딘가에 동그마니 숨어 있다 울컥 쏟아져 내려오는 너 기나긴 하루 한 번쯤 너도 나의 모습 떠오르는지 사랑이라 부르기엔 우린 너무 멀어졌고 차마 잊기엔 아직은 너무 일러 오늘도 난 사랑과 이별 사이를 눈물로 맴돌며 숨차게 너를 찾고 있어 바보야 어딨니 안 가면 안되니 너를 보낸 그곳에 아직도 난 서 있는데 머리에 가슴에 그 모습이 그리워서 또 한 번 숨죽여 운다 널 사랑한 후에오랜만에 문을 나서 바깥바람을 만지다 덜컥 다가선 외로움에 무너져 네 손에 끌려 다니던 정들은 거리 너 없는 슬픔에 잰걸음으로 집으로 가 바보야 어딨니 안 가면 안되니 너를 보낸 그곳에 아직도 난 서 있는데 머리에 가슴에 그 모습이 그리워서또 한 번 숨죽여 운다널 사랑한 후에널 불러보다가 뒤돌아 보면그곳엔 널 닮은 추억만이넌 아니 모르니 알면서 그러니여태 잊지 못하고아직 널 기다리는데어떤 날 올 거니내 심장이 멈출까 봐또 다시 그리워 운다널 사랑한 후에,79051,590
아이유,에필로그,2021-03-25,"나를 알게 되어서 기뻤는지나를 사랑해서 좋았었는지우릴 위해 불렀던 지나간 노래들이여전히 위로가 되는지 당신이 이 모든 질문들에‘그렇다’ 고 대답해준다면그것만으로 끄덕이게 되는 나의 삶이란오, 충분히 의미 있지요내 맘에 아무 의문이 없어 난이렇게 흘러가요어디에도 없지만 어느 곳에나 있겠죠가능하리라 믿어요짧지 않은 나와의 기억들이조금은 당신을 웃게 하는지삶의 어느 지점에 우리가 함께였음이여전히 자랑이 되는지멋쩍은 이 모든 질문들에‘그렇다’ 고 대답해준다면그것만으로 글썽이게 되는 나의 삶이란오, 모르겠죠 어찌나 바라던 결말인지요내 맘에 아무 의문이 없어 난이 다음으로 가요툭툭 살다보면은 또 만나게 될 거예요그러리라고 믿어요 이 밤에 아무 미련이 없어 난깊은 잠에 들어요어떤 꿈을 꿨는지 들려줄 날 오겠지요들어줄 거지요?",78692,591
비스트,12시 30분,2014-10-20,요란한 소릴 내며 깨지는 유리병 우리 모습일까 낮게 깔린 하늘이 금방이라도 부서질 것 같으니까 왜 이제야 왔냐며 날 기다렸다며 내 사랑 반겼던 너는 이제 어쩌다 마주친 모르는 사람보다 차갑게 얼어있다 환한 네 미소도 환한 미소도 따뜻한 네 품도 네 얼굴도 더 이상 볼 수도 만질 수도 없을 것만 같아 두려워 지금 우린 마치 12시 30분의 시곗바늘처럼 서로 등 돌리고 다른 곳을 보고 모든 걸 버리려고 하잖아 우린 마치 12시 30분의 시곗바늘처럼 다신 돌아올 수 없는 곳으로 걸어가고 있잖아 우릴 따라 흘러가던 시간도 멈췄나 봐 우리라기보단 이젠 너와 내가 됐나 봐 사소하게 지나간 모든 것들이 다 지나가기보단 놓친 것 같아 네 손이 참 따뜻했었나 봐 흔들리는 널 이미 알았어 그래서 더 꽉 잡았어 널 안았어 널 가뒀어 내 사랑이 독해져서 Yeah I know 모두 내 탓인 걸 But 미련이란 거 희망이란 거 놓을 수가 없어 환한 네 미소도 환한 미소도 따뜻한 네 품도 네 얼굴도 더 이상 볼 수도 만질 수도 없을 것만 같아 두려워 지금 우린 마치 12시 30분의 시곗바늘처럼 서로 등 돌리고 다른 곳을 보고 모든 걸 버리려고 하잖아 우린 마치 12시 30분의 시곗바늘처럼 다신 돌아올 수 없는 곳으로 걸어가고 있잖아 언젠가 이별이 내 앞에 무릎 꿇을 때 시간이 다시 우릴 따라 흐르게될 거라 믿어그렇게 올 거라 믿어지금 보내지만 너를 보냈지만모든 게 다 멈췄지만고장 나 버린 시계가다시 움직일 거라고 믿어지금 우린 마치12시 30분의 시곗바늘처럼서로 등 돌리고 다른 곳을 보고모든 걸 버리려고 하잖아우린 마치12시 30분의 시곗바늘처럼다신 돌아올 수 없는 곳으로걸어가고 있잖아,115422,592
성시경,그대네요,2010-09-28,그대네요 정말 그대네요그 따뜻한 눈빛은 늘 여전하네요이제야 날 봤나요한참을 보고 있었는데햇살이 어루만지는 그대 얼굴꿈일지도 몰라안녕이란 말도 나오질 않아하고픈 말 얼마나 많았는데꿈에서도 너만 찾았는데너무 늦었단 그런 말은 듣기 싫은데내 눈을 피하는 그대내 맘이 보이나요그대 눈빛을 난 알 수가 없어소리 없이 나 혼자 안녕알고 있죠지나간 일에는너무 힘들었죠만약이란 없는 것 그래도 한번쯤달려가 잡았다면그대가 한번만 안아줬더라면그렇게 돌아서진 않았을텐데꿈일지도 몰라안녕이란 말도 나오질 않아하고픈 말 얼마나 많았는데꿈에서도 너만 찾았는데혹시 그대도 하루마다 힘들었다면나를 그리워했다면주저하지 말아요다시 망설이다 놓칠 순 없어떨리는 목소리로 안녕언젠가는 꼭 만나게 될 거라고마음을 다해 바란다면난 믿어왔었죠이젠 슬픔은 없을 거야우리 다시 만나면감사해 우연이 선물한 이 순간을그대도 지금 입술까지 떨려온다면눈물이 날 것 같다면내 손을 잡아줘요그댈 다시 안아 봐도 될까요숨결처럼 가까이 안녕우리의 처음처럼안녕,89658,593
소향,바람의 노래,2017-10-21,살면서 듣게 될까언젠가는 바람의 노래를세월 가면 그때는 알게 될까꽃이지는 이유를나를 떠난 사람들과 만나게 될또 다른 사람들스쳐 가는 인연과 그리움은어느 곳으로 가는가나의 작은 지혜로는 알 수가 없네내가 아는 건 살아가는 방법뿐이야보다 많은 실패와 고뇌의 시간이비켜갈 수 없다는 걸 우린 깨달았네이제 그 해답이 사랑이라면나는 이 세상모든 것들을 사랑하겠네나를 떠난 사람들과 만나게 될또 다른 사람들스쳐 가는 인연과 그리움은어느 곳으로 가는가나의 작은 지혜로는 알 수가 없네내가 아는 건 살아가는 방법뿐이야보다 많은 실패와 고뇌의 시간이비켜갈 수 없다는 걸 우린 깨달았네이제 그 해답이 사랑이라면나는 이 세상모든 것들을 사랑하겠네보다 많은 실패와 고뇌의 시간이비켜갈 수 없다는 걸 우린 깨달았네이제 그 해답이 사랑이라면나는 이 세상모든 것들을 사랑하겠네나는 이 세상모든 것들을 사랑하겠네이 세상 모든 것들을 사랑하겠네,60179,594
노아주다 (noahjooda),"힙합보단 사랑, 사랑보단 돈 (Feat. 베이식)",2022-03-13,그녀를 처음 만난 건작은 클럽 공연장에서나는 공연 중이었고그녀는 빵댕일 흔들었어난 힙합스웩을 뽐내며그녀에게 다가가서돈가스 좋아해요 라고 물었고우린 돈가스 썰러 갔어그렇게 우리 사랑이바삭바삭 튀겨지다가도다시 눅눅해져 버릴 즘우린 이별했다고힙합보단 사랑 사랑보단 돈내가 거지라 그녀가 떠났고나 눈물이 안 나심장이 없나 봐그래 난 돈이나 벌래돈이 많음 하나도 안 외로워돈이 많음 하나도 안 서러워이 말이 다 맞아이 말조차 틀리다 하면나 어떻게 살아힙합은 너무나 어려워사랑은 훨씬 더 어려워돈이 많으면 안 어려워돈이 없어 마음이 아려와돈이 많으면 좋겠어돈이 많으면 좋겠어돈이 많으면 좋겠어돈이 많으면 좋겠어힙합은 너무나 어려워사랑은 훨씬 더 어려워돈이 많으면 안 어려워돈이 없어 마음이 아려와돈이 많으면 좋겠어돈이 많으면 좋겠어돈이 많으면 좋겠어돈이 많으면힙합보단 사랑 사랑보단 돈내가 거지라 그녀가 떠났고나 눈물이 안 나심장이 없나 봐그래 난 돈이나 벌래돈이 많음 하나도 안 외로워돈이 많음 하나도 안 서러워이 말이 다 맞아이 말조차 틀리다 하면나 어떻게 살아나 어떻게 살아야 하나요복잡한 눈물이 흐르네요솔직히 말하면 난 아직그녀를 못 잊었다고힙합을 절대 못 놓겠다고 말하더니들고 온 게 도토리 싸이 감성노래나 부르고 앉았네 이 새끼이건 좀 아닌 듯 멀리 갔어사장이란 놈이 장르의 경계의무너짐을 얘기한 뒤 어사랑타령 있니 상식 어감미로운데 생긴 건 장비 어나이 먹어서요즘 감성을 모르겠다지만이 새끼도 스물 막바지꼰대와 요즘 애들 사이에서혼란스러운데킹 받게 하는 것도 갖가지증명해라 니가 fake one 인지근데 가이드 첨 받고 나서부터계속 흥얼거려 멘붕근데 이게 대박 나면 개꿀많은 시간 지나도나는 후회 안 할 걸알고 있어내 진심을 담아서노랠 만들었는데한 번 들어봐줄래힙합보단 사랑 사랑보단 돈내가 거지라 그녀가 떠났고나 눈물이 안 나심장이 없나 봐그래 난 돈이나 벌래돈이 많음 하나도 안 외로워돈이 많음 하나도 안 서러워이 말이 다 맞아이 말조차 틀리다 하면나 어떻게 살아,5209,595
더 크로스,Don't Cry,2003-08-01,그대의 눈물이 마를 때까지 우리의 사랑을 볼 수 없을테니 울지 말아요 이제야 나는 알겠으니 날 사랑하던 그대는 이미 없다는걸 so you don`t cry for me 세월 지나도 난 변하지 않아 and then I cry for you 이 밤 지나면 이젠 안녕 영원히 그대의 아픔도 눈물도 슬픈 상처도 내가 갖겠다던 약속들 잊지 않았기에 울지 말아요 이토록 사랑하기에 이젠 안녕 천천히 그리고 영원히 so you don`t cry for me 세월 지나도 난 변하지 않아 and then I cry for you 이 밤 지나면 이젠 안녕 영원히 so you don`t cry for me 세월 지나도 난 변하지 않아 and then I cry for you 이 밤 지나면 이젠 안녕 영원히 널 사랑해 널 사랑해 영원히 널 사랑해 널 사랑해 널 사랑해 언제나 영원히 널 사랑해 널 사랑해 널 사랑해 언제나 영원히 널 사랑해 널 사랑해 널 사랑해 언제나 영원히 널 사랑해 널 사랑해 널 사랑해 so you don`t cry for me,36706,596
이보람 (씨야),처음 그 자리에,2007-11-09,그대 지금 내 가슴에 들어와사랑을 말하고 있죠꿈이 아니기를 나는 기도해봐요내맘이 자꾸 그대란 사람놓지말라고 하네요욕심을 내라며 바보같은 말을 하네요우연히 다가온 그대 사랑이왠지 낯설지 않았죠하지만 약속된 인연이기에사랑이 될 줄 몰랐죠조금 후면 그대 보내야 할텐데그럴 자신이 없죠나홀로 있던 그 자리를 찾아이제 돌아갈 뿐인데당연한 일인데 왜 맘이 아프죠그대 원하던 사랑을 찾아이제 돌아갈 뿐인데행복할 그대를웃으며 보내야할텐데내 눈을 보며 사랑을 말하죠스쳐간 사랑이지만이 순간 나는 너무 행복해요마치 꿈을 꾼 것처럼이제야 알았어요처음부터 우린사랑했었다는 걸나홀로 있던 그 자리를 찾아이제 돌아갈 뿐인데당연한 일인데 왜 맘이 아프죠그대 원하던 사랑을 찾아이제 돌아갈 뿐인데행복할 그대를웃으며 보내야 할텐데내게 사랑을 주면 안 되나요그대 정말 안 되나요이제는 그대를 이토록 사랑하는데,32405,597
지코 (ZICO),사랑이었다 (Feat. 루나 of f(x)),2016-01-25,알 수 없다눈 뜨고 꿈꾸는 기분일까괜히 가슴이 소란스러워지고그리움도 경험해본다내게 짓던 웃음이 참 예뻤지만네 맘은 항상 표정을 짓지 않아상처 난 것들을 보여주면서치유받길 거절하는 널 보며내가 할 게 못 되는구나 힘들다시간 지나면 다 없었던 일잠시 미쳤다 생각했는데사랑이었다 사랑이었다이제 와 보니 사랑한 거였다나답지 않던 말과 행동이멋대로 굴고 있는 심장이사랑이었다 사랑이었다나보다 소중한 게 있었다언제쯤 넌 내 이름 불러줄까널 꺾는다고 그 향기가 내 게 될까넌 쓸쓸함에 대해 얘기하면서안아주려는 내 손을 밀쳤어체념할 자격도 없는 나 괴롭다시간 지나면 다 없었던 일잠시 미쳤다 생각했는데사랑이었다 사랑이었다이제 와 보니 사랑한 거였다나답지 않던 말과 행동이멋대로 굴고 있는 심장이사랑이었다 사랑이었다나보다 소중한 게 있었다이제 더 이상은 특별함을 찾지 않아널 쫓느라 두고 간 원래의 나를 찾아혼자 한 사랑은 스스로 이별해야 되네시간 지나면 다 없었던 일잠시 미쳤다 생각했는데사랑이었다 사랑이었다이제 와 보니 사랑한 거였다나답지 않던 말과 행동이멋대로 굴고 있는 심장이사랑이었다 사랑이었다나보다 소중한 게 있었다나보다 소중한 게 있었다,121040,598
씨야,구두,2011-01-21,헤어지기 위해서미워하는 연습을 했어너를 잊기 위해서미워하는 연습을 했어밥보다 술을 더 많이 마시고술로 다 채워버린쓰린 속을 감싸 안은 채너 하나 밖에 모르는네 여자이니까높은 구두를 신고진하게 화장을 하죠한눈에 나를 알아보라고날보고 니가 흔들리라고더 높은 구두를 신고또 한번 화장을 하고다시 나를 안아줄까봐혹시 니가 흔들릴까봐밥보다 술을 더 많이 마시고술로 다 채워버린쓰린 속을 감싸 안은 채너 하나 밖에 모르는네 여자이니까높은 구두를 신고진하게 화장을 하죠한눈에 나를 알아보라고날 보고 니가 흔들리라고더 높은 구두를 신고또 한번 화장을 하고다시 나를 안아줄까봐혹시 니가 흔들릴까봐그리워 너무 그리워그리워도 나 참아야겠지너 하나 밖에 모르는네 여자이니까구두를 신고높은 구두를 신고진하게 화장을 하죠한눈에 나를 알아보라고날 보고 니가 흔들리라고더 높은 구두를 신고또 한번 화장을 하고다시 나를 안아줄까봐혹시 니가 흔들릴까봐구두를 신고,15489,599
신용재 (2F),빌려줄게,2016-10-13,혼자 있기 힘들 때나를 빌려줄게힘이 들면 언제나내게 기대면 돼흘러내린 눈물을멈출 수 없다면내 어깰 빌려줄게내게 적시면 돼불을 다 켜봐도맘이 어둡다 느끼고몸을 뉘어봐도맘을 놓을 수 없다면잠시 날 빌려줄게기대도 돼주저 말고 내게 와길었던 그 하루가힘겨웠을 테니까 그대아무 말 안해도 돼it’s alright it’s alright왜 나만 안되지생각은 무거워지고내일이 두려워잠이 들 수가 없다면잠시 날 빌려줄게기대도 돼주저 말고 내게 와길었던 그 하루가힘겨웠을 테니까 그대아무 말 안해도 돼it’s alright oh아무도 그 하루에관심이 없대도더는 외롭지 않게내가 들어줄게소리내 울어도 돼그래도 돼원한다면 언제나혼자여도 괜찮아무너져도 괜찮아이제 내가 널 안아줄게it’s alright it’s alright,78553,600
이진이,사랑하기 참 좋은 날,2021-10-11,사랑하기 참 좋은 날설레이는 그런 날아무 이유 없이미소짓는 날종일 니 생각에 참 벅찬 날가슴뛰는 날I wanna loveI need you love사랑하기 좋은 날오늘 따라 문득 보고 싶어서눈을 뜨자 마자 널 찾아갔어이게 너 때문일까저 햇살 때문일까그 어떤 말로도 표현이 잘 안되서그냥 널 꼭 안아버렸어오늘 사랑하기 참 좋은 날설레이는 그런 날아무 이유 없이미소짓는 날종일 니 생각에 참 벅찬 날가슴뛰는 날I wanna loveI need you love사랑하기 좋은 날뚜뚜 뚜루루루 뚜 뚜루루루루뚜 뚜루루루루언제나 네 품에서날 살게 해주는 너변함없이 하룰 눈부시게 비추는내 삶의 이유인 사람오늘 사랑하기 참 좋은 날설레이는 그런 날아무 이유 없이미소짓는 날종일 니 생각에 참 벅찬 날가슴뛰는 날I wanna loveI need you love사랑하기 좋은 날하늘에 매일 감사해별거 아닌 세상에사랑이란 말로특별함을 줘서이제야 나 알 것 같아태어난 이유를너를만나모든순간사랑하기 좋은 날뚜뚜 뚜루루루 뚜 뚜루루루루뚜 뚜루루루루HOO I LOVE YOU I NEED YOU,9821,601
뱅크,가질 수 없는 너,2000-12-28,술에 취한 니 목소리 문득 생각났다던 그말 슬픈 예감 가누면서 네게로 달려갔던 날 그 밤 희미한 두 눈으로 날 반기며 넌 말했지 헤어진 그를 위해서 남아있는 이 삶도 버릴수 있다고 며칠사이 야윈 널 달래고 집으로 돌아 오면서 마지막 까지도 하지 못한 말 혼자서 되뇌였었지 사랑한다는 마음으로도 가질 수 없는 사랑이 있어 나를 봐 이렇게 곁에 있어도 널 갖지 못하잖아 눈물섞인 니 목소리 내가 필요하다던 그말 그것으로 족한거지 나 하나 힘이 된다면 네게 붉어진 두눈으로 나를 보며 넌 물었지 사랑의 다른 이름은 아픔이라는 것을 알고있느냐고 며칠사이 야윈 널 달래고 집으로 돌아 오면서 마지막 까지도 하지 못한 말 혼자서 되뇌였었지 사랑한다는 마음으로도 가질 수 없는 사랑이 있어 나를 봐 이렇게 곁에 있어도 널 갖지 못하잖아,55543,602
김범수,사랑의 시작은 고백에서부터,2015-05-23,사랑은 소리 없이 찾아와내 가슴을 떨리게 만들죠 아무런 이유 없이 전화를 그냥만져 보는 나를 보네요 두근거리는 맘을 달래고그대에게 전화를 했지만 들을 수 없었던 그 목소리오늘 따라 너무 그리워져요 나 오늘 너에게 고백할 거야사랑한다고 세상에 말할 거야 나 비록 가진 건 하나 없지만행복을 줄 거야 오직 너 하나면 충분해 사랑은 내게 상처 뿐이라두 번 다신 하기 싫었는데 널 만난 그 순간 알게 됐어바보처럼 겁이 많았다는 걸나 오늘 너에게 고백할 거야사랑한다고 세상에 말할 거야 나 비록 가진 건 하나 없지만행복을 줄 거야 오직 너 하나면 충분해 저 밝은 별처럼 지켜줄 거야어디에 있든 너를 비춰 줄 거야 내 가슴 한 쪽이 사라지는 날 그 때는 말할게나를 받아 줘서 감사해 사랑하게 해 줘서 고마워,72245,603
유미,사랑은 언제나 목마르다,2002-02-05,그렇게 많이 사랑한다 했는데 이제야 사랑을 알것 같아요 부탁이 있어 제발 용서 마세요 오늘 난 당신을 버리려고해 제발 얼굴을 들어봐요 나를 위해서 참아왔던 아픔 사랑으로 나를 잡아줘요 단 하나의 그 하나로사랑하고 싶었던 그 아픈 약속과 눈물들이가슴 속 멍으로 남겠지만날 떠나요이젠 돌아 오지 못할 거에요난 사랑에 목이 마르겠지요그대는 항상 미안하다고 했죠지금도 눈물을 참고 있나요나를 위해 울지 마세요나를 사랑하며 참아온 모든이 상처를 오늘 다 버려요단 하나의 그 하나로사랑한다 했었던그대의 약속과 눈물들이다시 또 나를 울리겠지만괜찮아요 날 위해 슬퍼하지 마세요이제 나를 사랑하지마요오직 하나의 그 하나로사랑하자 했었던우리의 약속과 추억들이가슴 속 상처로 남을거야날 떠나요 이제 돌아오지 못할거에요난 사랑에 목이 마르겠지요,44210,604
하동균,기다릴게,2011-08-04,한걸음 걸어가죠니 모습 눈물에 가리죠내 눈물 밟으며가까이 가까이다가오는 너초라한 내 모습이니 마음 아프게 할까 겁나숨죽여서 나 울고 있죠꿈꾸는 듯 아름다운 내 사랑점점 멀어지죠나 니가 없는 이 세상에시간에 혼자 살아사는게 사는 것이 아니라도늘 그 자리에 눈 감는 날 까지나 영원히너를 기다릴게지우려 애를 써도가슴에 니가 매일 얹혀서너를 계속 나 찾아 가죠내 사랑이 짐이 될까 두렵죠못난 내가 밉죠나 니가 없는 이 세상에시간에 혼자 살아사는게 사는 것이 아니라도늘 그 자리에 눈 감는 날 까지나 영원히 나 나 니가 없는 이 세상에시간에 혼자 살아매일 널 기다리다 지쳐가도끝내 네게 나 못한 말울음부터 나왔던 말널 사랑한다 사랑한다 끝내 못한 말나 니가 없는 이 세상에시간에 추억에살아도 사는 것이 아니라도늘 그 자리에 눈 감는 날 까지나 영원히너만 사랑할께,87982,605
김종국,"별, 바람, 햇살 그리고 사랑",2005-07-01,눈이 부시도록투명한 아침 싱그러운 햇살속에 잠든 너의 숨결위로묻어나는 행복 별이되어 바람이 되어추억에 잠기면 어느 새 잠에서 깨어날 부르며 웃는 너 baby never say goodbye 단 한사람 너만 있어주면돼 이세상 무엇도널 대신 할순없어 baby don't you never cry 아름다워 네가 있는 이 세상 사랑하기에 나는 행복하니까 내몸 가득 배인너의 향기와 입술 가득 고인 미소 여기 이 모든 행복이정말 내 것인지 사라질까 잃어버릴까두려운 마음에 살며시 너를 안고서저 하늘에 기도해 baby never say goodbye 단 한 사람 너만 있어주면돼 이세상 무엇도널 대신 할순없어 baby don't you never cry 아름다워 네가 있는 이세상 사랑하기에 나는 행복하니까 구름속의 연인들처럼늘 함께있어도 이렇게 안고 있어도더 그리워지는 너 baby never say goodbye 단 한사람 너만 있어주면돼 이세상 무엇도널 대신 할 순 없어 baby don't you never cry 아름다워 네가 있는 이세상 사랑하기에 나는 행복하니까 영원히 지금 이대로 워우워너만을 사랑하겠어 워우워,27792,606
양다일,요즘,2020-12-29,해가 질 때쯤에눈을 뜨고 나면다가오는 어둠 속에나만 홀로 깨어 있는 듯해고요한 거리를하염없이 걷다 보면외로움이 찾아와 어느새깊어진 새벽에잠든 추억을 꺼내함께 나눈 감정들그 안을 헤집어 바라보면아련해진 기억에혼자 남은 쓸쓸함에아쉬움마저도느낄 수가 없는 내 모습이설렘 가득했던 그 순간의 내가생각이 나질 않아후회로 가득한 우리 마지막도이제는 아쉽지가 않아서한참을 떠올려도모든 게 자꾸 무뎌진 요즘익숙해진 건지그새 편해진 건지세상이 무너진 듯견딜 수 없어 힘들었는데흘러간 시간인지외면해 버린 건지더는 이상할 만큼아무렇지 않은 이 기분이설렘 가득했던 그 순간의 내가생각이 나질 않아후회로 가득한 우리 마지막도이제는 아쉽지가 않아서한참을 떠올려도모든 게 자꾸 무뎌진 요즘가끔은 이런 내 모습이너무 낯설어서 두려워질 때면널 만나 울고 웃던 시간으로다시 돌아간다면 찾아오는 감정들에우리 둘이 전부였던 그 세상에서잃어버린 날 찾을 수 있을까사랑한다는 게 헤어진다는 게더는 아쉽지 않아누구를 만나도 너와 함께했던그때의 내가 아닌 것 같아어쩌면 이 모든 게널 떠올리는 이유인 것 같아설렘 가득했던 그 순간의 내가생각이 나질 않아후회로 가득한 우리 마지막도이제는 아쉽지가 않아서한참을 떠올려도모든 게 자꾸 무뎌진 요즘,24158,607
나비 (Navi),마음이 다쳐서 (Feat. Crown J),2009-04-07,아무말도 없이 날 바라보는게뭔가 이상해서 두귀를 막았어내눈에 보이는 너의 입모양이헤어지자는 말인것 같아서어느새 또 눈물이내 발등을 적시고너무 창피해서 고개를 숙였어오 제발 이러지 말라고날 떠나지 말라고오늘 처음으로니 앞에서 울었어아마 준비해야 될걸that goodbye kiss우린 끝 e n d baby like this길을 좀 비켜줄래excuse me miss우리 이제 헤어지자no mo' businessno mo' whips and no mo' ices난 다시 갈래back to my peopsback to the streetsCause 여자 with 2 facesjust can't do it girlYes 그냥 가마음이 다쳐서숨도 못 쉬겠어심장에 번져서죽을만큼 아파 계속 아파병원에 가도 내가아픈 이유조차 찾지 못했어마음이 다쳐서문득 거울을 봤어거울 속에 비친 내 모습 보면서오늘 딱 하루만 울자고널 비워낼 거라고마지막으로 혼자 술을 마셨어U can't get a playa back like that난 아무 Beat에나 랩을 할 수 있지만난 아무 여자랑은 절대 사랑 안해여기선 넌 아무난 내 꽃을 피우는 한 그루 나무but you ain't ma flower마지막 자존심pshiii just swallowDon't followDon't call me 2morrow우린 남 over마음이 다쳐서숨도 못 쉬겠어심장에 번져서죽을만큼 아파 계속 아파병원에 가도 내가아픈 이유조차 찾지 못했어내 몸이 다치면아물긴 할텐데마음을 다쳐서눈물병이 걸려 낫질 않아밥을 먹어도 이제밥인지 눈물인지 모를만큼마음이 다쳐서너의 입모양이헤어지잔말은 아니길 바랬어오 제발 이러지 말라고날 떠나지 말라고오늘 처음으로니 앞에서 울었어,28268,608
서지원,내 눈물 모아,1996-01-22,창 밖으로 하나 둘씩불빛이 꺼질 때 쯤이면하늘에 편지를 써날 떠나 다른 사람에게 갔던너를 잊을 수 없으니내 눈물 모아서 하늘에너의 사랑이 아니라도네가 나를 찾으면 너의 곁에키를 낮춰 눕겠다고잊혀지지 않으므로 널그저 사랑하겠다고그대여 난 기다릴거예요내 눈물의 편지 하늘에 닿으면언젠가 그대 돌아오겠죠 내게로난 믿을거예요 눈물모아너의 사랑이 아니라도네가 나를 찾으면 너의 곁에키를 낮춰 눕겠다고잊혀지지 않으므로 널그저 사랑하겠다고그대여 난 기다릴거예요내 눈물의 편지 하늘에 닿으면언젠가 그대 돌아오겠죠 내게로그대여 난 기다릴거예요내 눈물의 편지 하늘에 닿으면언젠가 그대 돌아오겠죠 내게로난 믿을거예요 눈물모아,53759,609
휘성 (Realslow),가슴 시린 이야기 (Feat. 용준형 Of Beast),2011-03-15,세상에 가장 예쁜 거짓말goodbye goodbye가슴 찢겨도 뱉는 그 말goodbye goodbye좋은 안녕이란 말말도 안되는 그말사랑한 만큼 믿었던 만큼아파 아파네가 너무 미워서 너무 슬퍼서아파 아파이게 이별이잖아좋을 리가 없잖아그래도 goodbye안녕 미워도 너는 내사랑사랑을 알려준 첫 사람그런 너를 보내는한 남자의 거짓말goodbye goodbye나만 느끼던 너의 체온도goodbye goodbye나만 맞추던 너의 입술도goodbye goodbye너무 절망스러워그래도 널 위해서남자로써 꼭 해야하는 말goodbye goodbye마지막으로 너를 힘껏 안고서goodbye goodbye늘어난 테잎처럼무겁게 더듬대며행복해 goodbye안녕 미워도 너는 내사랑사랑을 알려준 첫 사람그런 너를 보내는한 남자의 거짓말goodbye goodbye안녕 좋은 사람 만나 행복해뻔한 드라마 속 이별장면을 베낀다말이 좋은 안녕이지결국 널 누군가에게 뺏긴다부모를 잃은 아이처럼우리가 낳은 사랑은 버려진다그래 이별은 너와 나의 책임이야사랑 앞에 우린 죄인이야울지마 바보야 나 정말 괜찮아어떻게든 살아 행복할게만남 사랑 추억 이별참 고마웠었어 그 동안이를 악물고 너를 보낼게어떻게든 너를 잊을게우리 둘이서 만든가슴 시린 이야기goodbye goodbye안녕 미워도 너는 내사랑사랑을 알려준 첫 사람처음이자 마지막너를 위한 거짓말goodbye goodbye,70045,610
