가수명,노래제목,발매일,가사,좋아요수
윤종신,말꼬리,2011-05-31,비는 오고 너는 가려 하고 내 마음 눅눅하게 잠기고 낡은 흑백영화 한 장면처럼 내 말은 자꾸 끊기고 사랑한 만큼 힘들었다고 사랑하기에 날 보낸다고 말도 안 되는 그 이별 핑계에  나의 대답을 원하니 너만큼 사랑하지 않았었나봐 나는 좀 덜 사랑해서  널 못 보내  가슴이 너무 좁아 떠나간 너의 행복 빌어줄  그런 드라마 같은  그런 속 깊은 사랑  내겐 없으니 사랑하면 내게 머물러줘 사랑하면 이별은 없는거야 너만큼 사랑하지 않았었나봐 나는 좀 덜 사랑해서  널 못 보내  가슴이 너무 좁아 떠나간 너의 행복 빌어줄  그런 드라마 같은  그런 속 깊은 사랑  내겐 없으니 우리의 사랑 바닥 보일 때까지 우리의 사랑  메말라 갈라질 때까지  다 쓰고 가 남은 사랑처럼 쓸모 없는 건  만들지 마요  손톱만큼의 작은 사랑도  내게 다 주고 가요 그러니까 이별은 없는거야 ,46043
정승환,숲으로 걷는다,2016-11-29,숲으로 걷는다 미안하단 말 대신 천천히 걷는다 기억의 너와 나란히 걷는다 아무 말 못하고 쳐다만 보는 널 뒤로 한 채 정신 없이 도망치는 철없던 내가 또 떠올라서 지우고 지워도 변한 게 없는 그때의 내 모습 숲으로 걷는다 내 빈 가슴을 채운다 천천히 걷는다 추억의 길을 혼자서 걷는다 이제 다 끝났어 혼자서 그렇게 말해본다 시간 속을 되 돌아가 달려가 꿈처럼 널 안고 싶지만 알아 너도 이제 다 잊었겠지 모든 게 변했지 숲으로 걷는다 보고 싶단 말 대신 천천히 걷는다 기억의 너와 나란히 걷는다 잊혀진 널 다시 만나러 ,7894
문빛,끝자락,2017-11-02,다 알고 있었어 저 별이 지고 나면 말이야 애써 아무렇지 않은 척 또 난 예전 같진 않았어 보고 싶다는 너의 말이 내가 알던 네 모습이 낯설게 느껴져 하루만 더 또 하루만 더 혹시나 한번 오늘 어쩌면 아무 말도 할 수 없었어 멈춰진 너의 오늘은 더 이상 내가 노력해도 변하지 않을 걸 알아 멀어지는 너의 손을 내가 잡아도 될까 네가 없이 견딜 수 있을까 예전 같진 않았어 사랑한다는 너의 말이 내가 알던 네 모습이 낯설게 느껴져 하루만 더 또 하루만 더 혹시나 한번 오늘 어쩌면 네가 돌아와 주길 아무 말도 할 수 없었어 멈춰진 너의 오늘은 더 이상 내가 노력해도 변하지 않을 걸 알아 멀어지는 너의 손을 내가 잡아도 될까 네가 없이 견딜 수 있을까 이제 와서 뭘 어떻게 할 수 있을까 미뤄둔 그 말을 오늘은 해야 할까 말할 수 있을까 아무 말도 할 수 없었어 남겨진 나의 내일은 더 이상 내가 노력해도 변하지 않을 걸 알아 멀어지는 너의 손을 내가 잡아도 될까 네가 없이 견딜 수 있을까 ,1773
박효신,숨,2016-10-03,오늘 하루 쉴 숨이 오늘 하루 쉴 곳이 오늘만큼 이렇게 또 한번 살아가 침대 밑에 놓아둔 지난 밤에 꾼 꿈이 지친 맘을 덮으며 눈을 감는다 괜찮아 남들과는 조금은 다른 모양 속에 나 홀로 잠들어 다시 오는 아침에 눈을 뜨면 웃고프다 오늘 같은 밤 이대로 머물러도 될 꿈이라면 바랄 수 없는걸 바라도 된다면 두렵지 않다면 너처럼 오늘 같은 날 마른 줄 알았던 오래된 눈물이 흐르면 잠들지 않는 내 작은 가슴이 숨을 쉰다 끝도 없이 먼 하늘 날아가는 새처럼 뒤돌아 보지 않을래 이 길 너머 어딘가 봄이 힘없이 멈춰있던 세상에 비가 내리고 다시 자라난 오늘 그 하루를 살아 오늘 같은 밤 이대로 머물러도 될 꿈이라면 바랄 수 없는걸 바라도 된다면 두렵지 않다면 너처럼 오늘 같은 날 마른 줄 알았던 오래된 눈물이 흐르면 잠들지 않는 이 어린 가슴이 숨을 쉰다 고단했던 내 하루가 숨을 쉰다 ,222821
AKMU (악뮤),작별 인사,2019-09-25,떠날 때 창틀에 화분이 비었길래 뒤 뜰의 꽃을 옮겨 담았어요 제라늄 꽃을 떠날 때 책장에 먼지가 쌓였길래 책 하나 속에 꽂아두었어요 짧은 편지를 정든 찻잔도 색이 바랜 벽지도 흔적이 힘들어서 바꾸지 말아요 내 마음에도 같은 것들을 남긴 것처럼 떠날 때 문턱에 나비가 앉았길래 넘지 못하고 바라보았어요 떠날 때 발등에 개미가 올랐길래 걸음 멈추고 나누었어요 작별 인사를 정든 찻잔도 물기 배인 마루도 의미를 알기 전에 바꾸지 말아요 내 마음에도 같은 것들을 남긴 것처럼 ,29073
드림캐쳐,괜찮아!,2017-07-27,아직도 난 길을 잃어서 어디로 갈지 몰라 조금도 나아지지가 않아 사실은 나 아직 어려서 모르겠어 지금도 어디쯤에 와있지 창 밖을 보니 날씨가 또 어두워진 탓에 괜히 생각이 더 많은 밤 저기 멀리 멀리 있는 곳에 조금씩 들려오는 느껴지는 빗소리 눈을 감고 나에게 말해줘 괜찮아 괜찮아 이렇게 So trust me 지치고 힘이 들 때면 마음은 답답해지고 쉽게 되는 건 또 하나 없는 것 같아 Oh 오랜만이야 나 여기 쉬었다 가 항상 바빴잖아 가끔씩은 숨을 돌려도 괜찮아 나가기도 싫은 날이야 그냥 내 방에 누워 창 밖을 보니 유난히 조용해진 골목 탓에 괜히 생각에 더 잠긴 밤 저기 멀리 멀리 있는 곳에 조금씩 들려오는 느껴지는 빗소리 눈을 감고 나에게 말해줘 괜찮아 괜찮아 이렇게 더 많이 웃을게 행복한 나를 지켜주고 싶어 저기 멀리 멀리 있는 곳에 조금씩 들려오는 느껴지는 빗소리 눈을 감고 나에게 말해줘 괜찮아 괜찮아 이렇게 So trust me ,4281
박효신,Beautiful Tomorrow,2016-10-03,그려지지 않아 눈을 감고 있어도 그렇게나 사랑하고 사랑했었던 너를 너를 몇 번이고 몇 번이든 꿈이었다면 또 한번 원망하고 미워한 내가 미안하고 또 미안해 Because of you 난 아직도 Because of you 너무 아파 무덤덤히 걸어가다 발걸음 마다 울고 울다 다 젖어버린 눈을 감아 Because of you 그 동안 행복했어 나도 너만큼 이제야 후회가 돼 그 누구보다 날 사랑할 수 있는 건 너야 Because of you 난 오늘도 Because of you 겨우 살아 추억 속을 걸어가다 발걸음 마다 웃고 웃다 다 젖어버린 눈을 감아 Because of you 난 괜찮아 Because of you 어느 날 우리 만나면 예전처럼 내가 아무 말 없이 웃어보일게 Because of you Because of you 그래 너는 나였었고 바라만 봐도 눈물 나는 넌 나의 영원한 너란 걸 Beautiful Tomorrow 그 날 그대로 여기 남아 있을게 여기 Because of you ,58852
아이유,싫은 날,2013-12-20,키 큰 전봇대 조명 아래 나 혼자 집에 돌아가는 길 가기 싫다 쓸쓸한 대사 한 마디 점점 느려지는 발걸음 동네 몇 바퀴를 빙빙 돌다 결국 도착한 대문 앞에 서서 열쇠를 만지작 만지작 아무 소리도 없는 방 그 안에 난 외톨이 어딘가 불안해 TV 소리를 키워봐도 저 사람들은 왜 웃고 있는 거야 아주 깜깜한 비나 내렸음 좋겠네 좋겠네 텅 빈 놀이터 벤치에 누군가 다녀간 온기 왜 따뜻함이 날 더 춥게 만드는 거야 웅크린 어깨에 얼굴을 묻다가 주머니 속에 감춘 두 손이 시리네 어제보다 찬 바람이 불어 이불을 끌어당겨도 더 파고든 바람이 구석구석 춥게 만들어 전원이 꺼진 것 같은 기척도 없는 창 밖을 바라보며 의미 없는 숨을 쉬고 한 겨울보다 차가운 내 방 손 끝까지 시린 공기 봄이 오지 않으면 그게 차라리 나을까 내 방 고드름도 녹을까 햇볕 드는 좋은 날 오면은 ,49488
아이유,이름에게,2017-04-21,꿈에서도 그리운 목소리는 이름 불러도 대답을 하지 않아 글썽이는 그 메아리만 돌아와 그 소리를 나 혼자서 들어 깨어질 듯이 차가워도 이번에는 결코 놓지 않을게 아득히 멀어진 그날의 두 손을 끝없이 길었던 짙고 어두운 밤 사이로 조용히 사라진 네 소원을 알아 오래 기다릴게 반드시 너를 찾을게 보이지 않도록 멀어도 가자 이 새벽이 끝나는 곳으로 어김없이 내 앞에 선 그 아이는 고개 숙여도 기어이 울지 않아 안쓰러워 손을 뻗으면 달아나 텅 빈 허공을 나 혼자 껴안아 에어질 듯이 아파와도 이번에는 결코 잊지 않을게 한참을 외로이 기다린 그 말을 끝없이 길었던 짙고 어두운 밤 사이로 영원히 사라진 네 소원을 알아 오래 기다릴게 반드시 너를 찾을게 보이지 않도록 멀어도 가자 이 새벽이 끝나는 곳 수없이 잃었던 춥고 모진 날 사이로 조용히 잊혀진 네 이름을 알아 멈추지 않을게 몇 번이라도 외칠게 믿을 수 없도록 멀어도 가자 이 새벽이 끝나는 곳으로 ,213810
선우정아,그러려니,2016-02-29,만나는 사람은 줄어들고 그리운 사람은 늘어간다 끊어진 연에 미련은 없더라도 그리운 마음은 막지 못해 잘 지내니  문득 떠오른 너에게 안부를 묻는다 잘 지내겠지 대답을 들을 수 없으니 쓸쓸히 음 음 그러려니 잘 지내니  문득 떠오른 너에게 안부를 묻는다 잘 지내겠지 대답을 들을 수 없으니 쓸쓸히 음 음 그러려니 그러려니 만나는 사람은 줄어들고 그리운 사람은 늘어간다 끊어진 연에 미련은 없더라도 그리운 마음은 막지 못해 만나는 사람은 줄어들고 그리운 사람은 늘어간다 끊어진 연에 미련은 없더라도 그리운 마음은  그리운 마음은 ,28333
백아연,할 말,2016-05-24,어려운 말을 꺼내요 그 동안 그댈 기다리는 것 말고는할 수 있는 게 없던 나죠 이제 우리 여기까지만 해요 너무 많은 말들이 맘속에 차올라 나는 나는 할 말이 없어요 그저 나는 할 말이 없어요 그렁그렁 눈물이 차오고 가슴 한쪽이 너무 아려와 아무 말도 못했죠이젠 그만할래요차가운 그대 눈빛에 울던 나는갈게요 이젠 good bye조금씩 준비를 했어요자꾸 변하는 그대가 다시는돌아 올 것 같지 않아서요그댄 정말 끝인 거냐 하네요마치 하나도 몰랐었던 것처럼불편하게그렁그렁 눈물이 차오고가슴 한쪽이 너무 아려와아무 말도 못했죠너무 멀리 왔어요차가운 그대 눈빛에 울던 나는갈게요 이젠 good bye그때 우리 마주 보던그대에게 기대어 웃던따뜻했던 기억들은다 남겨둘게요처음 우리 시작했던 날그때처럼만 안녕 안녕 해요너무 많이 아팠나 봐요다시 잡는 그대 그 손길을이제 받아줄 수 없네요안녕 난 갈게요 이젠Good bye,9840
손동운,Decrescendo,2019-04-22,내게 주던 사랑이갈수록 익숙해져편하게 생각했나 봐날 떠나 가벼워진 사랑은이제야 겨우 떠올라날카로운 말들로서로 맘을 할퀴다깎여버린 네 마음은끝까지 아물지도 못 한 채상처란 조각이 됐나 봐사랑 이상의 감정을 너라고부르던 시간이 끝나면어떻게 말해야 할지 몰라이별이라 부르기로 했어Decrescendo무한하게 커져가던 사랑도이별이란 두 글자에 갇혀방향을 잃고 점점 여려져귓가에 울리던 우리 노래는들리지 않을 만큼 작아져 가닮아 가는 모습에거울을 보는 것 같아널 보는게 좋았는데사실은 그렇게 반대로만바라보고 있었던 거야이별은 갑작스레 다녀가고그 자리에 남은 건너의 마지막 선물이라 생각해추억이라 부르기로 했어Decrescendo무한하게 커져가던 사랑도이별이란 두 글자에 갇혀방향을 잃고 점점 여려져귓가에 울리던 우리 노래는들리지 않을 만큼 작아져 가Decrescendo무한하게 커져가던 사랑도이별이란 두 글자에 갇혀방향을 잃고 점점 여려져귓가에 울리던 우리 노래는들리지 않을 만큼 작아져 가,3906
