가수명,노래제목,발매일,가사,좋아요수
홍민정,아마도 그건,2008-11-28,아마도 그건 사랑이었을거야희미하게 떠오르는 기억이이제야 그 마음을 알아버렸네그대 눈에 비친 나의 모습을아마도 그건 사랑이었을거야돌아보면 아쉬운 그날들이자꾸만 아픔으로 내게 찾아와떨리는 가슴 나를 슬프게 하네차가운 내 마음에 남은 너의 뒷모습열린 문틈으로너는 내게 다가 올 것 같아한참을 멍하니 문만 바라보다아침햇살에 눈을 뜨고 말았네사랑 그것은 엇갈린 너와 나의 시간들스산한 바람처럼 지나쳐갔네사랑 그것은 알 수 없는 나의 그리움남아 있는 나의 깊은 미련들차가운 내 마음에 남은 너의 뒷모습열린 문틈으로너는 내게 다가 올 것 같아한참을 멍하니 문만 바라보다아침햇살에 눈을 뜨고 말았네사랑 그것은 엇갈린 너와 나의 시간들스산한 바람처럼 지나쳐갔네사랑 그것은 알 수 없는 나의 그리움남아 있는 나의 깊은 미련들사랑 그것은 엇갈린 너와 나의 시간들스산한 바람처럼 지나쳐갔네사랑 그것은 알 수 없는 나의 그리움남아 있는 나의 깊은 미련들,27493
에피톤 프로젝트,한숨이 늘었어 (Duet With 이진우),2010-05-12,요즘 재밌다는 영화유행하는 것들 일부러 찾곤 해조금 웃을 수 있어서잠깐 잊을 수 있어서낮은 한숨이 늘었어이유 없는 일에 눈물을 흘리고때론 당연한 하루가가끔 너무 속상해서우리 사랑했었던 날들우리 함께했었던 기억 떠오르면좋은 기억들 보다는아직 미안한 맘이 더 많아우리 사랑했었던 날들우리 함께했었던 기억 떠오르면이젠 어쩔 수 없어서다시 한숨을 짓곤 해우리 사랑했었던 날들우리 함께했었던 기억 떠오르면좋은 기억들 보다는아직 미안한 맘이 더 많아우리 사랑했었던 날들우리 함께했었던 기억 떠오르면이젠 어쩔 수 없어서다시 한숨을 짓곤 해,3824
진영 (GOT7),그날,2017-07-31,누가 말 걸어 주지 않으면아무 말 없이나도 모르게 찾게 되는 건한가지 너고요했던 이 바다 위에햇살이 저물어 갈 때 쯤어렵게 끝맺은 이 멜로디 위에서있어 나 혼자그때의 목소리 그때의 공기파도가 되어서 부딪쳐도난 기다려 언젠가 가라 앉길또 기도해 하늘에 닿을 때 까지간절해져 갈수록잊고 있던 기억들이 날 찾아와모든 게 다 좋았던 거라믿었던 그날이눈앞에서 멀어져가던 걸 보던 그날을생각해내 뺨을 스치는 바람이내 맘을 흔드는 파도소리기도가 하늘에 닿았나 봐더 크게 소리쳐 빛 바래지지 않게바짝 깎은 내 손톱 밑에새살이 아물어갈 때 쯤어렵게 끝맺은 이 멜로디 위에그때의 목소리 그때의 공기파도가 되어서 부딪쳐도난 기다려 언젠가 가라 앉길또 기도해 하늘에 닿을 때 까지간절해져 갈수록잊고 있던 기억들이 날 찾아와모든 게 다 좋았던 거라믿었던 그날이눈앞에서 멀어져가던 걸 보던 그날을모든 게 다 무너져버린 것 같던 그날이아무렇지 않게 잊혀져나 웃던 그날을생각해,10594
아이유,마침표,2017-04-21,알고 있었어 무슨 말인지무슨 마음인지 다 알아하루 더 딱 하루만 더미루고 싶었어그래야겠지 결국 언젠간제일 어려운 숙제를 해야지마지막 인사가 이렇게 늦어서 미안많이 보고 싶지만널 다시는 만나지 않았음 좋겠어아파 울지만 다신 너로 인해웃지 않았음 좋겠어한 움큼씩 나눴던 진심도너무 쉬웠던 대답도못 잊게 사랑한 여러 번의 계절도안녕 모두 안녕전부 알 것 같아도 더 이상의이해는 없었음 좋겠어묻고 싶지만 끝내 그 대답을듣지 못했음 좋겠어변함없이 정직한 두 눈도약속한 겨울바다도못 잊게 행복했던 어린 날의 나도안녕 모두 안녕안녕 모두,67534
스윗소로우 (SWEET SORROW),서울은 비,2015-10-15,오늘 따라 내리는 이 비는좀처럼 그치질 않네요혹시 그대 있는 곳에도지금처럼 비가 내리진 않을까요아주 멀리 있어도 변하는 건없을 거야 우리서로 향해 있다면 언제까지나 함께일 거야그대 말했죠 또 내게 말했죠기도처럼그대가 그리워지면너무 보고프면 나는 이렇게 아픈데그대는 괜찮은가요아무 말 없는 그대가 나는 겁이 나서울은 비가 와외로운 내 맘에 돌아와 돌아와이 비가 그쳐가그대 고운 얼굴을 그려도 그려도 보이질 않아요달라지게 된 하루만큼 멀어짐은어쩔 수는 없는 건가요아주 멀리 있어도 변하는 건없을 거야 우리서로 향해 있다면 언제까지나 함께일 거야그랬잖아요 그랬었잖아요그대 내게그대가 그리워지면너무 보고프면 나는 이렇게 아픈데그대는 괜찮은가요아무 말 없는 그대가 나는 겁이 나서울은 비가 와외로운 내 맘에 돌아와 돌아와이 비가 그쳐가,3226
지코 (ZICO),사랑이었다 (Feat. 루나 of f(x)),2016-01-25,알 수 없다눈 뜨고 꿈꾸는 기분일까괜히 가슴이 소란스러워지고그리움도 경험해본다내게 짓던 웃음이 참 예뻤지만네 맘은 항상 표정을 짓지 않아상처 난 것들을 보여주면서치유받길 거절하는 널 보며내가 할 게 못 되는구나 힘들다시간 지나면 다 없었던 일잠시 미쳤다 생각했는데사랑이었다 사랑이었다이제 와 보니 사랑한 거였다나답지 않던 말과 행동이멋대로 굴고 있는 심장이사랑이었다 사랑이었다나보다 소중한 게 있었다언제쯤 넌 내 이름 불러줄까널 꺾는다고 그 향기가 내 게 될까넌 쓸쓸함에 대해 얘기하면서안아주려는 내 손을 밀쳤어체념할 자격도 없는 나 괴롭다시간 지나면 다 없었던 일잠시 미쳤다 생각했는데사랑이었다 사랑이었다이제 와 보니 사랑한 거였다나답지 않던 말과 행동이멋대로 굴고 있는 심장이사랑이었다 사랑이었다나보다 소중한 게 있었다이제 더 이상은 특별함을 찾지 않아널 쫓느라 두고 간 원래의 나를 찾아혼자 한 사랑은 스스로 이별해야 되네시간 지나면 다 없었던 일잠시 미쳤다 생각했는데사랑이었다 사랑이었다이제 와 보니 사랑한 거였다나답지 않던 말과 행동이멋대로 굴고 있는 심장이사랑이었다 사랑이었다나보다 소중한 게 있었다나보다 소중한 게 있었다,121044
김나영,너의 번호를 누르고,2022-04-12,우연히 너를 만나서 너의 옆자리에 앉아 그렇게 우린 친해졌어 짧은 시간에 그렇게 가까워질 수 있다는 게 그게 참 신기했어 소소한 일상부터 어린 시절 얘기까지도 그리 똑같진 않아도 말이 참 잘 통해서 더 짧았던 거야 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 우린 여기까지인가 봐 어쩌다 먼 훗날에 그때 우리 약속 기억날까 아쉬움만 가득했던 그때 난 왜 그랬을까 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 우린 여기까지인가 봐 아무 일 없이 살다 보면 모두 잊혀질 거라 또 맘을 속이고 달래도 자꾸만 그때 네가 생각나 또 너를 부르게 돼 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 스쳐 가버린 그때 그 시절 속의 우린 여기까지인가 봐 ,17641
멜로망스,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),2021-11-26,너를 위해 해줬었던 말들은 부담을 줬고 네가 내게 해줬던 위로에 나 상처 입었죠 사랑이란 모든 것 주는 거라 너는 말했고 난 서로의 삶을 지키자 했었죠 이번 문제만 넘어가면 전보다 더 나아질 거라 생각했는데 같은 곳을 맴돌고 있었죠 이제는 안될 것 같아 더 이상 힘들 것 같아 날 지워가며 사랑하는 게 좀 더 내게 맞는 사람 찾아 만나는 날 사랑해보려 노력할 것 같아 익숙해져만 가는 서로의 불편함 속에서 이별의 시간은 다가오고 있었죠 사랑하니까 괜찮다고 이 정도면 충분하다고 우린 이겨낼 수 있다고 믿고 있었던 건 내 욕심이었죠 이제는 안될 것 같아 더 이상 힘들 것 같아 날 지워가며 사랑하는 게 좀 더 내게 맞는 사람 찾아 만나는 날 사랑해보려 노력할 것 같아 내가 원하는 사람과 사랑에 빠지게 되는 날 그 날을 기다렸는데 이젠 내게 맞는 사람과 사랑하려 노력하는 게 조금 더 편할 것 같아 그게 덜 아플 것 같아 날 지켜가며 사랑하는 게 좀 더 편하게 지낼 수 있는 그런 사랑하게 되는 게 뜨겁게 사랑했던 날보다 이젠 내게 더 편할 것 같아 ,36203
주호,내가 아니라도,2022-03-25,사랑이었다 별거 없던 내 하루에 빛이 돼준 단한 사람 나보다 나를 더 아껴 주던 너를 그땐 왜 몰랐을까 행복이었다 다시는 없을 것 같던 잠시나마 행복했었다 다른 사람 곁에 있는 널 생각해 본 적 없지만 이젠 너를 보내줘야 할 것 같아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 내 전부였다 무엇도 바꿀 수 없던 우리라서 행복했었다 다른 누구라도 나보다 더 좋은 사람 만나서 이젠 나를 잊고 행복하게 살아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 어두웠던 내 하루에 빛이 되어주던 그날들을 어떻게 잊고 살아 과분했던 너라는 사람을 만나 누구보다 사랑했었다 내가 아니었다면 눈부시게 사랑받았을 너란 걸 이 세상에 누구보다 더 잘 알아서 미안했어 너와 함께한 날들이 더 말할 게 있을까 행복한 기억만 가져갈게 ,50688
임영웅,사랑은 늘 도망가,2021-10-11,눈물이 난다 이 길을 걸으면 그 사람 손길이 자꾸 생각이 난다 붙잡지 못하고 가슴만 떨었지 내 아름답던 사람아 사랑이란 게 참 쓰린 거더라 잡으려 할수록 더 멀어지더라 이별이란 게 참 쉬운 거더라 내 잊지 못할 사람아 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까 봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을 텐데 바람이 분다 옷깃을 세워도 차가운 이별의 눈물이 차올라 잊지 못해서 가슴에 사무친 내 소중했던 사람아 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까 봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을 텐데 기다림도 애태움도 다 버려야 하는데 무얼 찾아 이 길을 서성일까 무얼 찾아 여기 있나 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까 봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을 텐데 잠시 쉬어가면 좋을 텐데 ,169270
세윤,이별을 통보했던 날,2021-11-30,미안하다는 너의 그 말이 이젠 더 이상 듣고 싶지 않아 사랑이 식어버린 나는 너의 눈물에도 괜찮은가 봐 맞아 차가운 우리 모습이 정말 처음과는 달라진 것 같아 이제는 끝내고픈 사랑 더는 너를 만날 자신이 없어 다시 사랑한단 말도 못 할 거야 다시 만나기엔 늦은 걸 잘 알잖아 너를 만나서 너를 알아서 나도 참 많이 행복했었는데 이제 헤어진다는 걸 알잖아 이제 보내줘야 하는 걸 잘 알고 있잖아 너를 보내며 나를 달래며 혼자 남겨진 널 두고 떠나 내 맘 몰라줬던 너를 탓하며 내 말 모른 척했던 그때 널 탓하며 이별을 준비했던 나를 사실 너도 전부 알고 있잖아 다시 사랑한단 말도 못 할 거야 다시 만나기엔 늦은 걸 잘 알잖아 너를 만나서 너를 알아서 나도 참 많이 행복했었는데 이제 헤어진다는 걸 알잖아 서로 보내줘야 하는 걸 잘 알고 있잖아 너를 보내며 나를 달래며 혼자 남겨진 널 두고 떠나 미안 미안 ,133
HYNN (박혜원),친구라도 될 걸 그랬어,2022-04-08,벌써 넌 내가 편하니 웃으며 인사할 만큼 까맣게 나를 잊었니 네 곁에 있는 사람 소개할 만큼 견디긴 너무 힘든데 자꾸만 울고 싶은데 내 옆이 아닌 자리에 너를 보고 있는 게 왜 그게 행복한 걸까 친구라도 될 걸 그랬어 모두 다 잊고서 다른 사람 만나는 널 보아도 슬프지 않게 그저 바라보고 있었어 한참 동안 네 옆에 그 사람까지도 잠시라도 더 보려고 다시 혹시라도 널 보게 되면 그땐 모르는 척 해볼게 웃어도 볼 게 지금의 너처럼 눈 감지 말고 보낼 걸 가는 널 꼭 지켜볼 걸 차가운 너의 걸음에 마지막 내 눈물도 묻혀서 보내버릴 걸 너무 모진 너의 모습이 미워져 버려서 다른 사람 만나는 널 보아도 슬프지 않게 그저 바라보고 있었어 한참 동안 네 옆에 그 사람까지도 잠시라도 더 보려고 다시 혹시라도 널 보게 되면 그땐 모르는 척 해볼게 웃어도 볼 게 지금의 너처럼 차라리 잘 된 것 같아 다시 널 또 한 번 미워할 수 있을 테니 혹시 아직 너도 나처럼 편해지지 못하고 아파만 하는 거니 애써 너도 참는 거니 혹시 네가 다시 돌아올까 봐 나의 곁은 아직 그대로 비워져 있어 너의 자리라서 ,9655
김필,다시 사랑한다면 (니글니글 버터플라이),2016-02-21,다시 태어난다면 다시 사랑한다면 그때는 우리 이러지 말아요 조금 덜 만나고 조금 덜 기대하며 많은 약속 않기로 해요 다시 이별이 와도 서로 큰 아픔 없이 돌아설 수 있을 만큼 버려도 되는 가벼운 추억만 서로의 가슴에 만들기로 해요 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져 온다는 걸 그대여 빌게요 다음 번의 사랑은 우리 같지 않길 부디 아픔이 없이 나 꼭 나보다 더 행복해져야만 해 많은 시간이 흘러 서로 잊고 지내도 지난 날을 회상하며 그 때도 이건 사랑이었다고 말할 수 있다면 그걸로 된 거죠 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져 온다는 걸 그대여 빌게요 다음 번의 사랑은 우리 같지 않길 부디 아픔이 없이 이젠 알아요 영원할 줄 알았던 그대와의 사랑마저 날 속였다는 게 그보다 슬픈 건 나 없이 그대가 행복하게 지낼 먼 훗날의 모습 나 내 마음을 하늘만은 알기를 ,81524
김세정,정인 (情人),2018-09-16,그대와 내가 걷는 이 길은 참 쉽지 않아서 오늘도 그댈 잡지 못하고 이렇게 그대를 보내요 내 마음이 더 깊어질수록 혼자 울다 웃다 혹시나 내가 그댈 울게 할까 봐 오늘도 혼자 그대만 보네요 그대 맘이 나와 같다면 그대 맘이 날 원한다면 나를 바라봐 줘요 그대만 바라보는 바보 같은 나를 그대 행복할 수 있다면 그대만 웃을 수 있다면 내 걱정은 말아요 나 혼자 아파하는 그 일은 좀 쉬워요 그대가 서있는 그곳에 그대가 머무는 그곳에 내가 서있을 텐데 그대만 기다리는 가슴 아린 나는 바다보다 먼 그 길 끝에 다시 만날 그날이 온다면 나의 손을 잡아요 그대와 함께하면 그 길은 좀 쉬워요 ,14404
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",2019-09-25,일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널 바라본다 옆자리 허전한 너의 풍경 흑백 거리 가운데 넌 뒤돌아본다 그때 알게 되었어 난 널 떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별보단 버틸 수 있는 것들이었죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다 아무 말 없는 대화 나누며 주마등이 길을 비춘 먼 곳을 본다 그때 알게 되었어 난 더 갈 수 없단 걸 한 발 한 발 이별에 가까워질수록 너와 맞잡은 손이 사라지는 것 같죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 ,386623
#안녕,너의 번호를 누르고 (Prod. 영화처럼),2019-11-30,우연히 너를 만나서 너의 옆자리에 앉아 그렇게 우린 친해졌어 짧은 시간에 그렇게 가까워질 수 있다는게 그게 참 신기했어 소소한 일상부터 어린 시절 얘기 까지도 그리 똑같진 않아도 말이 참 잘 통해서 더 짧았던 거야 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간속의 우린 여기 까지인 가봐 어쩌다 먼 훗날에 그때 우리 약속 기억 날까 아쉬움만 가득했던 그때 난 왜 그랬을까 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간속의 우린 여기까지인 가봐 아무일 없이 살다보면 모두 잊혀질거라 또 맘을 속이고 달래도 자꾸만 그 때 니가 생각나 또 너를 부르게 돼 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간속의 스쳐가버린 그 때 그 시절 속의 우린 여기까지인 가봐 ,109930
윤토벤,서툰 이별을 하려해 (Feat.전상근),2019-08-01,우리 이제 헤어지기로해 너도 알잖아 우린 충분했다는걸 이별이 무서워 자꾸 피해보지만 이젠 정말 끝인걸 우리 사랑이 우리 추억이 이젠 끝나가지만 함께한 기억은 내가 다 가져갈게 끝이란걸 알지만 끝이라고 안할게 내눈에 비친 네 모습이 날 나쁘게 만들어 나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래 혹시 그때의 서로를 조금더 이해했더라면 우린 조금은 달라졌을까 이제와서 이러는 내가 너무 이기적인가봐 내눈에 비친 네 모습이 날 나쁘게 만들어 나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래 우리의 최선은 여기까지인거같아 수고많았어 이젠 널 보낼게 같은 추억속에 우리를 이젠 보내줘야해 애써 그냥 웃으며 아무렇지 않게 널 보낼게 우리 이제 정말 이별을 하려해 많이 아프겠지만 많이 힘들겠지만 혹시 우리가 다시 만나게 되는 날이 다가오면 그땐 꼭 안아줘 많이 보고싶었다고 말해줘 ,81225
노형돈,동암역 2번출구 (Feat. 최은설),2018-08-09,이별을 준비하는 사람의 눈을 본 적 있나요 아마 당신도 그 눈을 쳐다보진 못했겠죠 애꿎은 하늘만 바라보고 내 손을 자꾸 만지작거리는 게 아쉬운 건지 아니면 마지막이라 그대도 슬픈 건지 이유를 알아도 안되겠죠 이미 돌아선 그대 맘이기에 이 손을 붙잡진 못하겠죠 이 손을 놓아주면 끝이 날 텐데 그래도 그댈 볼 수는 없고 이렇게 시간이 흐르고 아프고 널 보면 또 눈물이 흐를 텐데 그러면 그대 미안할까 봐 이렇게 그대의 그림자 바라보다 이제 이 손을 좀 놓아줄래 사람들이 자꾸만 쳐다보잖아 힘들겠지만 날 좀 보내줄래 우린 아니란 걸 너도 알고 있잖아 마지막까지 난 나만 생각해 지금까지 많은 걸 맞춰줬으니 이번에도 내게 맞춰주길 바래 감정이란 게 참 무섭더라 끝까지 갈 수 있을 거라 생각했지 너의 아픔 내가 안아주고 싶었는데 생각보다 나는 어리더라 미안하다 더 이상 할 말 없다 우리 이만 돌아서자 사실은 이미 나는 보고 있었죠 돌아선 그대의 마음을 그 맘을 돌리기엔 늦고 말았죠 이 손을 놓아주면 끝이 날 텐데 그래도 그댈 볼 수는 없고 이렇게 시간이 흐르고 아프고 널 보면 또 눈물이 흐를 텐데 그러면 그대 미안할까 봐 이렇게 그대의 그림자 바라보다 내 앞에 더 이상 너는 없는데 나 이제 울어도 되죠 조금만 여기에 멈춰서 이렇게 이별을 준비했었나 봐요 나도 너 없는 거릴 걷고 있네요 이제는 나 혼자 여전히 이렇게 ,650
진민호,반만,2019-11-30,다 알고 있어 네가 만났던 사람 난 한 번도 이길 수 없었어 성격도 안 맞고 싸운 기억뿐이라며 욕하면서 왜 못 잊는 거야 그 사람이 다 아물 만큼 이젠 내가 두 배로 잘 할 테니까 그만 아파도 돼 괜찮아 반만 난 더도 말고 반만 딱 그 사람의 반만 사랑해주면 돼 미안하지 않아도 돼 아직 네 눈에 보이는 그 사람을 다 모른 척해 줄 테니까 넌 그냥 내게 와주면 돼 가끔 내 앞에서 받지 않는 전화쯤은 얼마든지 참아줄 수 있어 그 사람이 가끔 보여도 내 옆에만 있어주면 괜찮아 이젠 행복해도 돼 괜찮아 반만 난 더도 말고 반만 딱 그 사람의 반만 사랑해주면 돼 미안하지 않아도 돼 아직 네 눈에 보이는 그 사람을 다 모른 척해 줄 테니까 하루만 한 시간만 아니 일 분만 나로 가득 채울 순 없는 걸까 이제 넌 나만 사랑하면 돼 나만 제발 울지 마 다 알아 네 잘못이 아니야 몇 년이 가도 괜찮아 너의 눈에 나만 보일 그날까지 얼마든 기다릴 테니까 가끔 그 사람 생각해도 돼 ,71301
부활,Never Ending Story,2002-09-01,손 닿을 수 없는 저기 어딘가 오늘도 난 숨쉬고 있지만 너와 머물던 작은 의자 위에 같은 모습의 바람이 지나네... 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대 이기에 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대이기에... ,70543
노형돈,떨어질 때까지,2019-02-18,참 힘들었었고 참 달콤했었다 너와 함께 함께였던 그날들 참 소중했었다 사랑 그 한마디로 행복했었다 이제 그 한마디로 눈물이 된다 내 눈물 마지막 한 방울이 되어 떨어질 때까지 떨어질 때까지 기억할게 영원한 사랑을 믿었었다 아니 그러길 바랐다 사랑 그 말로 부족할 만큼 사랑했으니까 사랑 그 한마디로 행복했었다 이제 그 한마디로 눈물이 된다 내 눈물 마지막 한 방울이 되어 떨어질 때까지 떨어질 때까지 다시 널 만나지 못해도 잊을 수 없어 떠난 너를 그리며 영원히 잊지 않을게 사랑 그 한마디로 행복했었다 이제 그 한마디로 눈물이 된다 내 눈물 마지막 한 방울이 되어 떨어질 때까지 떨어질 때까지 기억할게 ,123
Chocolat.D (쇼콜라디),그날에 우리,2016-02-05,그날에 우리 예감했었지 끊어질 것 같은 우리의 사랑 차마 말하지 못했지 마지막 그 말 우리 그만 헤어져 말하지 못할 뿐 사실 우린 이미 알고 있잖아 이제는 끝이란 걸 알아 그 좋았던 우리의 추억도 여기에서 끝낼까 그날에 우리 이별을 했고 무뎌진 맘이 슬픔을 감추려 했지 우리의 사랑 서로를 달래며 뒤돌아 걷지 아무 일 없듯 우리 그날에 우리 말하지 못할 뿐 사실 우린 이미 알고 있잖아 이제는 끝이란 걸 알아 그 좋았던 우리의 추억도 여기에서 끝낼까 그날에 우리 이별을 했고 무뎌진 맘이 슬픔을 감추려 했지 우리의 사랑 서로를 달래며 뒤돌아 걷지 아무 일 없듯 우리 그날에 우리 이별을 했고 무뎌진 맘이 슬픔을 감추려 했지 우리의 사랑 서로를 달래며 뒤돌아 걷지 아무 일 없듯 우리 그날에 우리 ,61
권진아,끝,2016-09-19,한참을 아무 말도 없었다 어색한 공기만 우릴 감싸고 있다 너는 고개를 돌린 채로 한숨만 내쉰다 내가 처음 보는 표정을 하고 서있다 차라리 화를 내지 싫어졌다고 말을 하지 마지막 순간까지 좋은 사람으로 기억되고 싶었니 내가 갈게 애써 미안한 표정 하지마 싫어진 거잖아 그래 널 떠나 줄게 비겁해지는 널 보는 게 아파 내가 갈게 널 보내줄게 조금씩 넌 변했다 매일 오던 연락 난 기다린다 서운해 하는 날 보는 게 슬프다 넌 여기까진가 봐 끝이었나 봐 난 시작이었는데 Oh 그냥 헤어지자고 내게 말을 하지 마지막 순간까지 좋은 사람으로 기억되고 싶었니 내가 갈게 애써 날 위하는 척 하지마 넌 준비했잖아 그래 널 떠나줄게 내가 몰랐던 널 보는 게 아파 내가 갈게 널 보내줄게 니가 없는 하루가 사실 난 잘 그려지질 않아 그렇게 말했었잖아 내가 너의 행복이랬잖아 나 없인 살 수 없을 거라고 말했었잖아 내가 갈게 애써 미안한 표정 하지마 싫어진 거잖아 이제 널 떠나줄게 비겁해지는 널 보는 게 아파 내가 갈게 널 보내줄게 ,140297
정승수,되돌릴 수 없는 이별을 해,2021-01-10,혼자 집에 걸어가는 길이 어색해 우리 예전처럼 함께 걷던 그 날이 무색해질 만큼 변한 걸까 그게 어제처럼 선명한데 어느새 우린 멀어져 가는 걸까 혼잣말로 버릇처럼 건넨 인사에 아무 대답 없는 거릴 걷다 불어온 차가운 공기에 수없이 흔들리던 맘 이젠 견딜 수가 없을 만큼 아파서 되돌릴 수 없는 이별을 해 이젠 끝난 거잖아 서로 다른 길을 걷잖아 그게 이별이잖아 아무것도 아닌 게 될까 봐 너를 놓아주려 해 근데 그게 맘처럼 쉽게 되지가 않아서 어디서부터 놓아줘야 우리 아름다운 이별을 준비할 수 있을까 하루 종일 이별 앞에 서서 생각해 아직 모든 게 난 두려운데 이런 게 마지막인가 봐 그때는 당연했던 게 나 이젠 혼자 견뎌야 한다는 게 더 아프잖아 되돌릴 수 없는 이별을 해 이젠 끝난 거잖아 다시 오지 않을 너라는 걸 잘 알고 있잖아 이렇게 우리 헤어지면 다시 아름다운 인연을 준비할 수 있을까 끝난 걸 알면서도 나는 널 보고 싶어서 더 미칠 것 같아 혹시라도 우리 마주치면 그냥 모른척해 줘 그래야 내가 널 잊고 살 수 있을 것 같아서 이렇게 우리 헤어져야 다시 아름다운 인연을 준비할 수 있겠지 우리 이제는 되돌릴 수 없잖아 ,878
