가수명,노래제목,발매일,가사,좋아요수
이예준,사랑이 아니었다고 말하지 마요,2022-01-09,소중한 건 금방 달아날 것만 같아 너를 지우면 그게 나이긴 한 걸까 나의 어제이고 오늘인 너는 아파 눈 감으면 네 생각이 나 사랑했던 모든 날이 좋았어 어쩌려고 내가 너를 놓았을까 나의 세상 나의 시간 잊지 말아요 늘 그리워서 눈이 부시게 너로 반짝이던 가득 빛나던 밤 영원할 줄 알았던 우리의 그때를 사랑이 아니었다 말하지 마요 덜컥 네 생각에 참아왔던 마음이 손쓸 틈 없이 쏟아져 내려 오늘도 구름 낀 하늘 비가 올 것만 같아서 난 하염없이 네 생각이 나 바보처럼 아껴왔던 마음이 지칠 만큼 오늘따라 조금 벅차 나의 세상 나의 시간 잊지 말아요 늘 그리워서 눈이 부시게 너로 반짝이던 가득 빛나던 밤 영원할 줄 알았던 우리의 그때를 사랑이 아니었다 말하지 마요 내일의 너에게 난 어떻게 그려질까 점점 선명해질까 아님 잊혀져갈까 손 내밀면 닿을 것 같은 그때의 기억 늘 그리워서 모든 시간이 너로 가득했어 아련한 꿈처럼 소중하고 또 애틋한 우리의 그때를 사랑이 아니었다 말하지 말아요 ,27077
HYNN (박혜원),친구라도 될 걸 그랬어,2022-04-08,벌써 넌 내가 편하니 웃으며 인사할 만큼 까맣게 나를 잊었니 네 곁에 있는 사람 소개할 만큼 견디긴 너무 힘든데 자꾸만 울고 싶은데 내 옆이 아닌 자리에 너를 보고 있는 게 왜 그게 행복한 걸까 친구라도 될 걸 그랬어 모두 다 잊고서 다른 사람 만나는 널 보아도 슬프지 않게 그저 바라보고 있었어 한참 동안 네 옆에 그 사람까지도 잠시라도 더 보려고 다시 혹시라도 널 보게 되면 그땐 모르는 척 해볼게 웃어도 볼 게 지금의 너처럼 눈 감지 말고 보낼 걸 가는 널 꼭 지켜볼 걸 차가운 너의 걸음에 마지막 내 눈물도 묻혀서 보내버릴 걸 너무 모진 너의 모습이 미워져 버려서 다른 사람 만나는 널 보아도 슬프지 않게 그저 바라보고 있었어 한참 동안 네 옆에 그 사람까지도 잠시라도 더 보려고 다시 혹시라도 널 보게 되면 그땐 모르는 척 해볼게 웃어도 볼 게 지금의 너처럼 차라리 잘 된 것 같아 다시 널 또 한 번 미워할 수 있을 테니 혹시 아직 너도 나처럼 편해지지 못하고 아파만 하는 거니 애써 너도 참는 거니 혹시 네가 다시 돌아올까 봐 나의 곁은 아직 그대로 비워져 있어 너의 자리라서 ,9655
이예준,그날에 나는 맘이 편했을까,2020-12-03,늘 똑같은 일로 싸우다 지친 우리 끝날 때 됐나 봐 너답지 않던 모습 더는 지켜보기 힘들었어 다시 주워 담기 힘든 말들 쏟아내고 집에 돌아왔어 그날에 나는 맘이 편했을까 다신 안 보겠단 각오로 니가 못한 숙제 한 거잖아 나는 사랑이 필요해 이만큼 아프면 충분해 니가 핀 담배만큼 난 울었어 니가 가장 듣기 싫어했던 얘기들만 뱉어내고 왔어 그날에 나는 맘이 편했을까 다신 안 보겠단 각오로 니가 못한 숙제 한 거잖아 나는 사랑이 필요해 이만큼 아프면 충분해 니가 핀 담배만큼 난 울었어 상처받았다고 말하지 말아줘 나를 더욱더 사랑해줬더라면 아니 처음부터 만나지 말았다면 행복했을까 정말 널 미워해서 이랬을까 이렇게까지 해서라도 우릴 되돌리고 싶었는데 나를 떠나는 이유가 너는 필요했던 거니까 내가 그 이유를 만들어줄게 미안한 마음들 갖지 않도록 ,82983
김필,다시 사랑한다면 (니글니글 버터플라이),2016-02-21,다시 태어난다면 다시 사랑한다면 그때는 우리 이러지 말아요 조금 덜 만나고 조금 덜 기대하며 많은 약속 않기로 해요 다시 이별이 와도 서로 큰 아픔 없이 돌아설 수 있을 만큼 버려도 되는 가벼운 추억만 서로의 가슴에 만들기로 해요 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져 온다는 걸 그대여 빌게요 다음 번의 사랑은 우리 같지 않길 부디 아픔이 없이 나 꼭 나보다 더 행복해져야만 해 많은 시간이 흘러 서로 잊고 지내도 지난 날을 회상하며 그 때도 이건 사랑이었다고 말할 수 있다면 그걸로 된 거죠 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져 온다는 걸 그대여 빌게요 다음 번의 사랑은 우리 같지 않길 부디 아픔이 없이 이젠 알아요 영원할 줄 알았던 그대와의 사랑마저 날 속였다는 게 그보다 슬픈 건 나 없이 그대가 행복하게 지낼 먼 훗날의 모습 나 내 마음을 하늘만은 알기를 ,81524
신예영,우리 왜 헤어져야 해,2019-11-20,이런 말 하기까지가 참 어려워서 그대를 보낼 준비가 되질 않아서 아프고 또 아파서 이젠 무뎌진 걸까 나의 욕심인가 봐 서운한 말을 하는 게 너무 미안했어 그토록 바라고 또 바랬던 서롤 볼 수 없을까 봐 그랬나 봐 내가 헤어지고 나서야 궁금해진 말 우리 왜 헤어져야 해 혹시 내가 잘못 한 게 있다면 한 번 더 내게 기회를 준다면 내가 더 노력할게 네가 싫어하던 행동도 다신 하지 않을게 돌아와 나를 꼭 안아줘 마음이 변한 거라면 솔직했음 해 내가 좀 구차해지면 다 잊혀질까 널 다시 외면하고 지낼 수 있을까 원래 없었던 것처럼 나 정말 나는 헤어지기 싫어 네가 너무 보고파 네가 자꾸 생각나 내게 돌아와 줘 그때 널 붙잡지 못했던 나를 용서한다면 돌아와 나를 꼭 안아줘 많이 사랑하나 봐 비참해진 나지만 이렇게라도 해서 널 다시 만날 수 있게 되면 너무 밉다고 그냥 네게 안겨서 왜 이제서야 돌아왔냐고 울고불고 소리칠 텐데 나는 헤어지기 싫어 하고 싶은 말이 많은데 혼자 두고 가지 말라고 네 손을 붙잡아도 끝을 혼자 정해버리고 왜 날 두고 떠나가 다신 보지도 않을 사람처럼 아직 헤어지기 싫어 네가 아직 좋아서 찢어질 듯 아파와 그런 말 하지 마 내가 잘못 한 게 있다면 내가 미안하다고 제발 날 떠나지 말아 줘 ,126750
#안녕,해요 (2022),2022-06-07,그녀와 나는요 그땐 참 어렸어요 많이 사랑했고 때론 많이 다퉜었죠 지금 생각하면 모두 내 잘못이죠 마지막 그날도 그녀는 울었어 나는 그녈 잡지 못했죠 지금까지도 너무 후회가 돼요 그 후로 누굴 사랑한 적 없어 아직은 그녀와 나는요 언젠가 만날 거죠 변해버린 모습 변해버린 시간 속에 하지만 괜찮아 내 눈엔 아름답던 예전 모습 그대로 일 거예요 그녀도 날 못 잊을 거야 나는 믿어요 그만큼 사랑했죠 그래서 우린 한 번은 만나야만 해요 그녀의 친구라도 이 노랠 듣는다면 그녀에게 전해줘요 내가 아직 사랑한다고 우리가 처음 만난 그 시간 그 자리에 내가 매일 기다린다고 언제라도 그녀도 날 못 잊을 거야 나는 믿어요 그만큼 사랑했죠 그래서 우린 한 번은 만나야만 해요 그녀의 친구라도 이 노랠 듣는다면 그녀에게 전해줘요 내가 아직 사랑한다고 우리가 처음 만난 그 시간 그 자리에 내가 매일 기다린다고 그녀의 친구라도 이 노랠 듣는다면 그녀에게 전해줘요 내가 아직 사랑한다고 우리가 처음 만난 그 시간 그 자리에 내가 매일 기다린다고 내가 매일 기다린다고 ,19112
109,니가 보고싶을 때,2018-07-19,니가 떠나기 전에 난 느끼지 못했어 니가 얼마나 내 맘에 크게 들어왔는지 익숙함에 속아 서로를 놓치지 말자고 약속했던 너의 집 앞 벤치야 아 이상하지 참 나 왜 이러는 걸까 가끔 이렇게 불쑥 찾아오는 걸 넌 좋아했었는데 니가 그린 그 여름밤에 이제 나는 없어 가을이 오기 전 널 잡고 싶어 니가 보고 싶을 때 나는 여름을 그렸어 식지 않는 열대야처럼 널 잊는 게 쉽지 않아 우리 그때 그날에 더운 줄도 몰랐는지 잡은 손을 놓지 않고 걸었던 그 여름밤 니가 떠나고 난 뒤에 많이 어질러 있던 방 하나둘씩 정리하던 도중 나온 니 사진 아주 잠깐 잊고 있던 사진 속 그 시간에 꽤나 비워놨던 니가 또 차올라 아 이상하지 참 나 왜 이러는 걸까 니가 좋다며 들려준 노래들 다시 또 듣고 있어 난 내가 그린 그 여름밤엔 이젠 니가 없어 가을이 오기 전 널 잡고 싶어 니가 보고 싶을 때 나는 여름을 그렸어 식지 않는 열대야처럼 널 잊는 게 쉽지 않아 우리 그때 그날에 더운 줄도 몰랐는지 잡은 손을 놓지 않고 걸었던 셀 수 없이 수많은 니 맘속 별 중 하나만 나에게 나눠준다면 내 맘은 좀 아물 텐데 시간이 지난 뒤에 우리를 띄워봤을 때 어둡고 캄캄하지 않게 너 빛나줄래 ,22268
유주,날 떠나지마,2018-08-13,날 떠나지마 오늘 네 생각이 나 매일 밤 네 뒤에서 못 본 척하며 지냈어 너를 볼 수 있다면 다시 볼 수 있다면 그때 못 본 척 한 또 그런 일은 없을 것 같아 빈 잔이었다면 내가 가득 채울게 아름답던 날 그 모습까지 기억이 없다면 내게 바랬던 기억도 함께 지워줘 잊을 수 있게 기다려 떠나지마 오늘 네 생각이 나 매일 밤 네 뒤에서 못 본 척하며 지냈어 너를 볼 수 있다면 다시 볼 수 있다면 그때 못 본 척 한 또 그런 일은 없을 것 같아 진심이였다면 내가 노력해볼게 아름다울 날 그 모습까지 미련이 없다면 내게 말했던 약속도 모두 지워줘 잊을 수 있게 나의 곁에 있어줘 매일 널 기대하며 오늘도 네 뒤에서 괜찮은 척 난 지냈어 내가 할 수 있다면 너를 볼 수 있다면 내가 못 했던 말 그런 말을 전하고 싶었어 너를 사랑해서 너를 사랑해서 내가 혼자였던 밤이 지나면 날 안아줘 이제 돌아와 줘 그때가 그리워서 너를 사랑해서 너를 사랑해서 매일 밤 널 생각해 ,390
김세정,정인 (情人),2018-09-16,그대와 내가 걷는 이 길은 참 쉽지 않아서 오늘도 그댈 잡지 못하고 이렇게 그대를 보내요 내 마음이 더 깊어질수록 혼자 울다 웃다 혹시나 내가 그댈 울게 할까 봐 오늘도 혼자 그대만 보네요 그대 맘이 나와 같다면 그대 맘이 날 원한다면 나를 바라봐 줘요 그대만 바라보는 바보 같은 나를 그대 행복할 수 있다면 그대만 웃을 수 있다면 내 걱정은 말아요 나 혼자 아파하는 그 일은 좀 쉬워요 그대가 서있는 그곳에 그대가 머무는 그곳에 내가 서있을 텐데 그대만 기다리는 가슴 아린 나는 바다보다 먼 그 길 끝에 다시 만날 그날이 온다면 나의 손을 잡아요 그대와 함께하면 그 길은 좀 쉬워요 ,14404
한솔,마음대로,2020-10-26,사랑이 싫어 혼자가 될까 봐 아플 걸 알면서 다시 사랑하게 돼 몇 번을 해도 익숙해지지가 않는 건데 후회해도 난 그런 너를 보고 있잖아 마음대로 사랑하고 마음대로 이별을 택한 거야 우리의 이별을 왜 네가 정하는 거야 미안하단 말로 쉽게 끝낼 거라 생각했으면 사랑을 시작하지 않을 텐데 같이 있어도 혼자인 것 같아 나만 또 모르게 이별을 준비한 너 애를 써봐도 오늘이 지나면 없을 넌데 돌아서는 널 그런 너를 보며 웃잖아 마음대로 사랑하고 마음대로 이별을 택한 거야 우리의 이별을 왜 네가 정하는 거야 미안하단 말로 쉽게 끝낼 거라 생각했으면 사랑을 시작하지 않을 텐데 늘 함께였던 네가 결국 잊혀질까 그게 두려워 너를 난 보내기 싫어 혼자 기대하고 혼자 아파하고 어떻게 널 보내 지워지지 않는데 널 그리워하며 너의 흔적들을 찾아가겠지 혼자 두고 가지 마 돌아와 줘 ,1126
선예,대낮에 한 이별,2022-02-04,마지막 인사를 주고받고 엉엉 울면서 서로를 한 번 꽉 안아 보고서 잘해준 게 하나도 없어 맘이 아프다며 서로의 눈물을 닦아 주었어 시간이 한참 지나고 나서 괜찮아지면 그때 친구로 다시 만나서 서로의 곁에 있어주잔 말을 남기고서 마지막으로 한 번 안아봤어 햇살이 밝아서 햇살이 아주 따뜻해서 눈물이 말랐어 생각보단 아주 빨리 죽을 것 같아서 정말 숨도 못 쉬었었어 근데 햇살이 밝아서 햇살이 밝아서 괜찮았어 헤어지기 직전에 그만 참지를 못하고 아주 바보 같은 질문을 했어 우리 혹시 헤어지지 않으면 안 되냐고 이제 얘기를 다 끝낸 후인데 그러자 너도 바보같이 대답을 못하고 멍하니 나만 바라보고 있어 우린 알고 있어서 너무 잘 알고 있어서 헤어지기가 너무 두려운 거야 햇살이 밝아서 햇살이 아주 따뜻해서 눈물이 말랐어 생각보단 아주 빨리 죽을 것 같아서 정말 숨도 못 쉬었었어 근데 햇살이 밝아서 햇살이 밝아서 괜찮았어 햇살이 밝아서 아픔을 잊을 수 있었어 햇살이 밝아서 눈물을 멈출 수 있었어 햇살이 밝아서 하늘이 너무 고마웠어 햇살이 밝아서 햇살이 밝아서 괜찮았어 괜찮았어 ,12671
노형돈,그런 거지 뭐,2021-10-11,우리가 아파해야 하는 이유는 뭘까 우리가 함께해온 시간들 우리가 헤어져야 하는 이유는 뭘까 그게 참 말이 안 되지 이제야 내 마음을 알 것 같아 다 거짓말 이젠 모든 걸 떠나 다시는 볼 수 없게 해 그게 참 맘처럼 쉽게 되지가 않아 그게 참 말처럼 쉬운 게 아냐 비울 수가 없다면 내가 못 잊어서 내가 못 잊어 이별을 담지 못해 버려야만 비워질까 이젠 모든 걸 떠나 다시는 볼 수 없게 해 그게 참 맘처럼 쉽게 되지가 않아 그게 참 말처럼 쉬운 게 아냐 비울 수가 없다면 내가 못 잊어서 내가 못 잊어 그런 거지 뭐 그리 답답해서 도망치는 거야 내가 다 알지 못해서 그렇게 널 몰라서 그게 참 맘처럼 쉽게 되지가 않아 그게 참 말처럼 쉬운 게 아냐 비울 수가 없다면 내가 못 잊어서 내가 못 잊어 그게 사랑일까 ,114
10CM,나의 어깨에 기대어요,2019-07-20,나의 두 눈에 보여지는 그 뒷모습이 서글퍼지는 마음이라 눈물이 글썽여 하루 또 하루 지나가면 더 멀어질까 봐 이렇게 또 불안한 마음만 날 떠나가지 말아요 가슴속으로 그댈 향해 외치는 말 돌아가지는 말아요 그대 있는 곳 다시 사라지지 말아요 외로운 맘에 서러워도 울지 말아요 나의 어깨에 기대어요 그대 괜찮다면 어떤 날에는 더 아프고 또 슬프겠지만 내가 그대 곁에 있을게요 날 떠나가지 말아요 가슴속으로 그댈 향해 외치는 말 돌아가지는 말아요 그대 있는 곳 다시 사라지지 말아요 지금은 아닐거예요 우리 헤어지는 건 내게서 멀어지지 말아요 내 곁에 있어줘 나의 품에 안겨줘요 슬픈 날들이 지나가면 그때라면 온 세상을 다 줄게요 나 그대에게 지금 내 말 듣고 있나요 나를 떠나가지 말아요 ,111034
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",2019-09-25,일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널 바라본다 옆자리 허전한 너의 풍경 흑백 거리 가운데 넌 뒤돌아본다 그때 알게 되었어 난 널 떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별보단 버틸 수 있는 것들이었죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다 아무 말 없는 대화 나누며 주마등이 길을 비춘 먼 곳을 본다 그때 알게 되었어 난 더 갈 수 없단 걸 한 발 한 발 이별에 가까워질수록 너와 맞잡은 손이 사라지는 것 같죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 ,386623
