가수명,노래제목,발매일,가사,좋아요수
다비치,마치 우린 없었던 사이 (Prod. 정키),2018-07-12,비 내리는 날 창가에 앉아 서두르던 일상을 달래다 울적해진 마음잡고 써 내려가다 울컥 눈물만 헤어진단 게 낯설기만 해 하루하루를 그저 버티다가 누군가 내게 네 얘길 물을 때면 울컥 눈물만 어두워지면 밤하늘을 헤매다 잠시 잊었던 혼자라는 생각에 밤새 뒤척이다 네 생각에 잠 못 드는 날엔 그저 눈물만 다른 사람을 만난다면 그땐 꼭 바랄게 나보단 너를 더 이해하길 우리 뜨겁게 사랑했던 기억 모두 다 지우고 만난 적 없었던 것처럼 Oh You Oh You 마치 우린 없었던 사이 어두워지면 밤하늘을 헤매다 잠시 잊었던 혼자라는 생각에 밤새 뒤척이다 네 생각에 잠 못 드는 날엔 그저 눈물만 다른 사람을 만난다면 그땐 꼭 바랄게 나보단 너를 더 이해하길 우리 뜨겁게 사랑했던 기억 모두 다 지우고 만난 적 없었던 것처럼 그렇게 뱉어놓은 그 많은 말들은 없어 마치 우린 없었던 사이 다른 사람을 만난다면 그땐 꼭 바랄게 나보단 너를 더 이해하길 우리 뜨겁게 사랑했던 기억 모두 다 지우고 만난 적 없었던 것처럼 Oh You 마치 우린 없었던 사이 ,50062
헤이즈 (Heize),비가 오는 날엔 (2021),2021-08-04,세상이 어두워지고 조용히 비가 내리면 여전히 그대로 오늘도 어김없이 난 벗어나질 못하네 너의 생각 안에서 이제 끝이라는 걸 알지만 미련이란 걸 알지만 이제 아닐 걸 알지만 그까짓 자존심에 널 잡지 못했던 내가 조금 아쉬울 뿐이니까 비가 오는 날엔 나를 찾아와 밤을 새워 괴롭히다 비가 그쳐가면 너도 따라서 서서히 조금씩 그쳐가겠지 취했나 봐 그만 마셔야 될 것 같애 비가 떨어지니까 나도 떨어질 것 같애 뭐 네가 보고 싶다거나 그런 건 아냐 다만 우리가 가진 시간이 좀 날카로울 뿐 참 좋아했었던 이런 날이면 아직 너무 생생한 기억을 꺼내놓고 추억이란 덫에 일부러 발을 들여놔 벗어나려고 발버둥조차 치지 않아 이제 너를 다 지워냈지만 모두 다 비워냈지만 또다시 비가 내리면 힘들게 숨겨놨던 너의 모든 기억들이 다시 돌아와 널 찾나 봐 비가 오는 날엔 나를 찾아와 밤을 새워 괴롭히다 비가 그쳐가면 너도 따라서 서서히 조금씩 그쳐가겠지 너에게로 이젠 돌아갈 길은 없지만 지금 행복한 너를 보며 난 그래도 웃어볼게 널 잡을 수 있었던 힘이 내겐 없었으니까 어차피 끝나버린 걸 이제 와 어쩌겠어 뒤늦게 후회나 하는 거지 덜 떨어진 애처럼 비는 항상 오니까 계속 반복되겠지 그치고 나면 그제서야 나도 그치겠지 비는 항상 오니까 계속 반복되겠지 그치고 나면 그제서야 나도 그치겠지 ,73229
V.O.S,잘 살고 있다,2019-12-02,한잔 술에 잊자 그만 나도 숨 좀 쉬자 제발 마치 주문처럼 매일 읊조렸던 넌 모르는 내 슬픈 혼잣말 친구들 통해 들은 네 소식 너무 잘 살고 있어 날 만날 때보다 더 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘 살고 있다 너처럼 두려워 듣기 싫던 네 소식 막상 듣게 되니 또 이별한 듯이 아파 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘살고 있다 너처럼 너 없는 많은 밤들이 혼자 버틸 날들이 아직 너무 많은데 가끔은 너 철없던 나의 장난에 입꼬리 올라가던 그 미소가 그리워 가진 건 없지만 널 가진 게 전부였어 그래서 무너졌나 봐 너밖에 없었으니까 언젠간 나도 나만 사랑해줄 사람 만나 잘 살고 싶다 너처럼 나도 그럴 수 있을까 ,38512
아이유,나만 몰랐던 이야기,2011-02-17,정말 넌 다 잊었더라 반갑게 날 보는 너의 얼굴 보니 그제야 어렴풋이 아파오더라 새 살 차오르지 못한 상처가 눈물은 흐르질 않더라 이별이라 하는 게 대단치도 못해서 이렇게 보잘것없어서 좋은 이별이란 거 결국 세상엔 없는 일이라는 걸 알았다면 그때 차라리 다 울어둘 걸 그때 이미 나라는 건 네겐 끝이었다는 건 나만 몰랐었던 이야기  사랑은 아니었더라 내 곁에 머물던 시간이었을 뿐 이제야 어렴풋이 알 것만 같아 왜 넌 미안했어야만 했는지 내가 너무 들떴었나 봐 떠나는 순간마저 기대를 했었다니 얼마나 우스웠던 거니 좋은 이별이란 거 결국 세상엔 없는 일이라는 걸 알았다면 그때 차라리 다 울어둘 걸 그때 이미 나라는 건 네겐 끝이었다는 건 나만 몰랐었던 이야기    ,110805
펀치 (Punch),이 밤의 끝,2018-05-31,널 보면 나와 달라 이렇게 난 네 생각뿐인데 널 사랑했던 만큼 아파야 하는 걸까 난 이 밤의 끝을 잡고 잠 못 드네 차가웠던 시간이 다 지나가면 따스한 저 햇살들이 날 비춰 줄까 결국 우린 끝난 사이라 하지만 돌아올 것만 같았어 널 보면 나와 달라 왜 나만 또 네 생각뿐인데 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠이 드네 네가 날 떠나고 후회한 나잖아 지금 넌 아무렇지 않을까 그 차가운 바람이 불어오는 게 난 무서워 다시 안을 수 있다면 난 다 할 텐데 너 없는 밤 아프게 지워가지만 내 맘은 널 그리워해 널 보면 나와 달라 누가 그래 넌 나와 같다고 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠 못 드네 I'll always be with you all night 함께 했던 추억뿐이지만 난 이제 너를 모두 지울래 내 맘이 너무 아파서 널 보면 나와 달라 아직도 난 널 사랑하나 봐 그래 너라도 정말 행복하면 좋겠어 난 이 밤의 끝을 잡고 잠 못 드네 째깍 째깍 초침 소리 시간은 또 흐르는데 넌 어디에 있니 ,47764
스웨덴세탁소,우리가 있던 시간,2012-09-07,생각한다 지난 날들 눈이 부시도록 아름다웠던 사라진다 뜨겁게 안아주던 네 손 끝 향기가 들려온다 너의 그 노래가 날 부르는 목소리가 불러본다 서툴게 날 맴돌던 내 기억 속 그 이름을 짧은 하루라도 숨이 멎을 것 같아 밀려오는 잔상들로 미치도록 그리던 순간들로 또 널 기다려본다 흩어진다 깊게 새겨졌던 우리의 시간들이 잡지 못해 작아진 뒷모습도 이젠 닿을 수가 없잖아 짧은 하루라도 숨이 멎을 것 같아 밀려오는 잔상들로 미치도록 그리던 순간들로 또 널 기다려본다 사라질 것 같던 우리의 시간들이 아직도 날 붙잡고 한번만 더 너를 담게 된다면 그 땐 놓지 않을게 우릴 놓지 않을게,26459
사이로(415),우리 둘 사이로,2019-08-29,Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 아무렇지 않을 너는 이 맘 알고 있을까 두려워 널 보낼 때가 돼버린 걸까 이제 매일 헤매이는 밤 잠들 때마다 미워지지만 괜찮아 하루에도 난 수백 번 고민해 너 없을 때에도 그날 너에게 전할 얘기가 나를 자꾸 괴롭히는 걸 내일이면 다 지워버려야지 이젠 이번에는 널 다 잊을 수 있을까 Forget me close your eyes Forget me close your eyes 돌아보지 않을거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 네가 없는 나의 하루는 어떨진 몰라 근데 자꾸만 내 맘이 조금씩 나도 모르게 흘러가는 걸 그저 서롤 힘들게 굴지 않아도 되는 날에 행복하길 바래 하루에도 난 수백 번 고민해 같이 있을 때에도 지금 너에게 전할 얘기가 너를 더 아프게 하는 걸까 내일이면 다 지워낸 뒤겠지 이젠 이번에는 널 다 잊을 수 있을까 Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 그날이 그립겠지만 잊을 수 없게 됐지만 이제 돌이킬 수 없는 날이 됐지만 같은 시간 속 우린 다른 하룰 그리워하며 흘러가겠지 I just wanna get away with it Forget me close your eyes Forget me close your eyes 같이 나눈 그 순간은 눈 감으면 잊혀질까 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 ,5998
펀치 (Punch),Done For Me,2019-08-18,지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 깨끗이 지워질 수 있을까 널 벗어날 수 있을까 사랑했던 기억도 다 비워낼 수 있을까 더 이뤄질 수는 없어 난 다가갈 수 없어 미친 듯이 뛰어가 너 없는 곳에 가 사랑은 갔고 남겨진 추억들은 아팠고 네가 내게 남겨줬던 기억은 가시가 됐고 다 사라졌으면 해 모두 지워졌으면 해 나 쉴 수 있게 널 떠날게 가질 수 없는 너란 걸 알고 있어 보낼게 너와의 기억 모두 다 버릴게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 나의 기억에서 떠나가줘 너의 추억들도 가져가 줘 지워줘 너의 그리움까지도 그리워도 그립지는 않게 모든 순간들을 잊어볼게 다 잊을게 너의 작은 흔적까지도 지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 너를 떠날 수밖에 멀어질 수밖에 없으니까 이런 나를 제발 용서해줘 언젠가는 우리 다시 만날 수 있기를 done for me done for me ,100916
빅마마,하루만 더,2021-06-24,하루만 더 우리 이별을 늦춘다면 어땠을까 그럴 일 없다는 걸 나는 알면서도 아직 널 보낼 수가 없나봐 한번만 나 이렇게 널 불러볼게 오늘까지만 그리워할게 끝이 보이지않아 내 사랑은 가슴깊이 이별을 남기고 새까맣게 흉터가 되어도 또 다시 너를 그리워해 내 전부인 널 단 하루만 더 너를 사랑할게 단 한순간도 못 잊어 너 없는 세상이 너무나 아파서 무너져가 다시 돌아와줘 시간에 기대어 애써봐도 이별은 왜 계속 선명해질까 잘 지내란 인사 못할 것 같아 오늘까지만 눈물 흘릴게 oh 혼자 남은 내 맘을 이해해줘 네 흔적이 그대로 남아서 내 입술이 추억을 부르고 여전히 너를 사랑한다 내 전부인 널 단 하루만 더 너를 사랑할게 단 한순간도 못 잊어 너 없는 세상이 너무나 아파서 무너져가 다시 돌아와줘 시간에 기대어 애써봐도 이별은 왜 계속 선명해질까 우리의 이별 끝에 아직도 서있어 지금도 네게 하고 픈 말 뜨겁게 널 사랑한다고 단 한순간도 못 보내 너 없는 세상이 너무나 아파 목이 메어와 정말 끝난거니 참 행복했었던 그때 우린 추억마저 사라지고 있잖아 ,58506
송하예,니 소식,2019-05-11,그때의 우리 사랑 뜨겁고 치열했는데 끝나보니 남는건 미움뿐 몇번의 계절을 더 보내야 괜찮아 질까 미련이 듬뿍 남은 하루를 보내 친구들과 통화에 우연히 들은 니 소식 다른 사랑을 시작해 잘 지낸다고 한땐 소중했었고 많이 사랑했었던 우리둘은 이젠 남이 됐고 모르는 사람이야 넌 완벽히 잊었나봐 이렇게 넌 잘사는데 괜한 걱정을 했나봐 나만 힘든가봐 너도 내 소식을 전해 들었으면 좋겠어 아직은 좀 힘들어 한다는 미안한 마음갖고 가끔씩 날 생각해줘 그래야 내 맘이 좀 편할거 같아 니옆에 다른 사람 있다는게 참 낯설어 뭔지 모를 서운함은 이기적인 거니 한땐 소중했었고 많이 사랑했었던 우리둘은 이젠 남이 됐고 모르는 사람이야 넌 완벽히 잊었나봐 이렇게 넌 잘사는데 나만 끝을 미뤘나봐 나만 그랬나봐 솔직한 맘을 말하면 좋은 사랑 안했으면 해 가슴아프게 지내길 바랬어 너는 행복하겠지 많이 설레이겠지 나 없이도 웃는 니 모습에 이제야 실감이나 넌 완벽히 떠났나봐 확실히 날 떠났나봐 난 니가 너무 미워져 행복하지 말아줘 잘지내지 말아줘 좋은 사람 만나 다행이란 말은 거짓말이야 네 소식 들은 그날밤 펑펑 울다가 밤을 샜어 늦어버린걸 알지만 어쩔수 없나봐 ,195103
