가수명,노래제목,발매일,가사,좋아요수
SOLE (쏠),아무말도,2020-10-17,요즘 들어 우린 내내 왠지 기분이 점점 변해 서로가 서툴러서 오래 시간이 필요했던 거야 나 혼자 왜 아프고 또 내 마음만 안 편해 이상하게 널 보면 또 왜 솔직하지 못해 그렇게 아무것도 알지 못하고 우린 돌아선 채 점점 더 멀어져 아무 말도 하지 못하고 너의 눈을 바라볼 때면 마음이 아파 어떤 표정으로 난 네게 이 말을 전해줘야 할지 함께했던 시간이 네겐 좋았던 기억이길 바래 어두운 밤 혼자 있을 때 몇 번을 되뇌어도 이상하게 아직도 나 솔직하지 못해 미안해 아무것도 알지 못하고 우린 돌아선 채 점점 더 멀어져 아무 말도 하지 못하고 너의 눈을 바라볼 때면 ,5504
이승기,뻔한남자,2020-11-15,그 날 이후 두 사람 어느 정도 예감했지 멀지 않은 우리 이별의 날을 달라지는 노력보다 그대로 흘러가길 바라는 꽤 된 낡은 사랑 누구 탓을 안 한 채 다른 얘길 꺼내 보던 배려는 아무 힘도 남아 있지 않기에 오 함께 걷던 발걸음이 어긋나기 시작했었던 그 날 이별 느낌 문득 마음이 같아서 다행일까 누구 하난 거짓 마음이었을까 붙잡지 않는 서론 섭섭하지 않아 그대로 흘러가면 이별인데 다시 못 볼 사람인데 우리 계절 끝나가는데 난 정말 자신 있었을까 추억들이 날 내버려둘 줄 안걸까 미처 깨닫지 못한 너라는 커다람에 난 지샌 밤을 배운다 다 그렇게들 떠나니 너무 걱정 말라 했던 친구 누구나 겪는 것처럼 말했었던 아니 우린 다를거야 그 때로 가서 되돌리고픈 못난 밤이 깊어 마음이 같아서 다행일까 누구 하난 거짓 마음이었을까 붙잡지 않는 서론 섭섭하지 않아 그대로 흘러가면 이별인데 다시 못 볼 사람인데 우리 계절 끝나가는데 난 정말 자신 있었을까 추억들이 날 내버려둘 줄 안걸까 미처 깨닫지 못한 너라는 커다람에 난 지샌 밤을 배운다 돌이킬 수 없다는 걸 잘 알아 반짝 지나가는 후유증이길 바래 나라고 뭐 다를까 다들 그러하듯이 뒤늦게 후회하고 그리워하고 아마도 이러다가 말거야 세상 수많은 이별 중에 하나일 뿐 사랑을 놓쳐버린 흔하디 흔한 이별 겪었던 뻔한 남자 ,43756
김제훈,내게 다시오면,2012-03-29,힘들었던 지난날을 모두다 내려 놓으며 너여서가 아닌 나의 삶을 살아온 지금 돌아서면 돌아보면 내겐 다시 못올 순간들 내게 다시오면 내게 다시오면 묻었던 가슴은 다시 깨어날 텐데 다시 내게 오면 내남은 사랑을 다 주고 싶어 난여기 있을께 난여기 있을께 한숨만 쉬며 돌아서면 돌아보면 내겐 다시 못올 순간들 내게 다시오면 내게 다시오면 묻었던 가슴은 다시 깨어날 텐데 다시 내게 오면 내남은 사랑을 다 주고 싶어 난여기 있을께 난여기 있을게 내게 다시오면 내게 다시오면 참았던 가슴은 다시 풀려날 텐데 다시 내게 오면 내남은 사랑을 다 주고 싶어 난여기 있을께 난여기 있을께 한숨만 쉬며 난여기 있을께 난여기 있을께 한숨만 쉬며 ,179
웬디 (WENDY),두 글자,2020-11-15,그대 아무 말 없어도 나의 눈빛은 그대만 봐요 눈망울에 숨겨놓은 그대 이야기 이젠 조금씩 내게 느껴져요 왜 나였는지 언제인지 중요하지 않아요 지금 이 순간 지금 내 곁에 그대라면 사랑이란 두 글자 정말 이상해 귓가에 스쳐만 가도 가슴이 떨리는 내 마음을 어떡할까요 날리는 바람에 흘려 보내봐도 다시 꽃피는 이 사랑을 아무 생각 말아요 그대 걷는 길 어디라 해도 내 마음이 그대 머문 자리에 나를 데려다 줄 테니 걱정이 없죠 어둠이 내린 저 하늘에 밝게 빛나고 있는 별처럼 내 맘이 그대의 길을 비추죠 사랑이란 두 글자 정말 이상해 귓가에 스쳐만 가도 가슴이 떨리는 내 마음을 어떡할까요 날리는 바람에 흘려 보내봐도 다시 꽃피죠 수 없는 날들을 기다려 왔던 내 맘이 그대에게 한 걸음씩 가까워 지고 있죠 사랑이란 두 글자 왜 이래 떠올려 보기만 해도 심장이 떨리는 내 마음이 왜 이럴까요 환한 햇살 속에 숨겨 보려 해도 눈치 없이 다시 피어나죠 ,12288
김나영,니가 없다면,2020-11-13,언제부턴가 너를 보낸 하루하루가 길고 힘들어져 눈을 뜨는 게 널 맞이했었던 나였는데 아무 의미 없어 어디로 걸어야 할까 혹시 너 있을까 함께 걷던 거리에 몇 번을 찾아도 너의 빈자리 너의 기억 추억만 커져가 니가 없다면 이런 난 내가 아냐 뒤돌아섰던 그때에는 니가 없어도 괜찮을 것 같아 더는 무엇도 소란스러워질 이유 없다 모질게 말했어 어디로 걸어야 할까 혹시 너 있을까 함께 걷던 거리에 몇 번을 찾아도 너의 빈자리 너의 기억 추억만 커져가 니가 없다면 이런 난 내가 아냐 나 홀로 남겨진 채로 추억 하나도 버리지 못해 기다려 얼마나 걸어야 할까 혹시 너 있을까 잠시라도 널 다시 또 만나게 되면 혹시나 하는 그런 맘에 또 서성이는데 괜한 욕심에 아닌 줄 알면서 난 가지 마 멀어지지 마 아직 그 자리에 예전처럼 있어줘 늘 그랬었잖아 너로 가득 찬 시간들을 되돌리고 싶어 그렇게 오늘도 너를 찾고 있어 나는 ,15937
김제훈,너도 그러니?,2014-05-13,멀리서 희미하게 걸어온 니 모습 한눈에 알아봤었어 무슨 말을 먼저 할까 준비해놓은 말은 많은데 생각이 안나 조금은 많이 변한 것 같은데 따스한 미소는 여전 하네 하루 종일 널 본다는 생각에 가슴한쪽이 설레였었어 너도 그러니 혹시나 나와 같은 맘이면 우리 다시 해볼까 예전보다 좋아질거야 나에게 꼭 맞는 셔츠를 입고 평소 안 보던 거울만 바라봐 예전보다 훨씬 내가 더욱 괜찮다면 넌 내게 다시 다가올까 마지막이 될 줄도 모르는데 용기내  그립던 만큼 내 마음을 전 할래 하루 종일 널 본다는 생각에 가슴한쪽이 설레 였었어 너도 그러니 혹시나 나와 같은 맘이면 우리 다시 해볼까 예전보다 좋아질 거야 여전히 나에게 묻어 있는 너의 기억 선명한데 어느 곳을 어느 계절을 지날 때 마다 너무도 니가 그리웠어 하루 종일 널 만날꺼란 생각에 나 이시간만을 기다렸나봐 이젠 말할게 다시 널 사랑하고 싶어 니가 나의 마지막 사랑이길 ,42
디어클라우드,사실 난,2020-11-16,괜찮은 척 해봤어 얼마나 더 버텨질까 다시 맘을 다잡고  힘껏 웃음 짓고 잊으려 해 모두들 좋아 보여 또 나는 외톨이 같아 눈물을 꾹 삼키고  태연한 척 어울리기도 해 사실 난 한 치 앞도 안 보여 사실 난 용기도 바닥났어 이제 난 절망조차 버거워 오늘도 길을 잃고 헤매 사실 난 괜찮아질 거라고 결국 다 지나갈 거라고 그렇게 말해 와도  내겐 지금이 전부인 걸 사실 난 한 치 앞도 안 보여 사실 난 용기도 바닥났어 이제 난 절망조차 버거워 오늘도 길을 잃고 헤매 사실 난 사실 난 강한 사람이 아냐 사실 난 네 앞에선 단단히 그렇게 괜찮은 척 해봐도 사실 난 한계에 서있어 사실 난 ,1778
제이레빗(J Rabbit),너로 가득해,2020-10-12,Now I’m falling falling in love And I’m calling calling you Here my eyes adore you Are we still in my dream Now I’m falling falling in love And I’m dreaming dreaming of you Will you ever know You just blew my heart away 나의 마음 위에 너를 그리면 나의 온 세상이 너로 가득해 떨리는 두 눈에 너를 영원히 담을 수 있을까 제멋대로 뛰는 내 맘 나의 마음 위에 너를 그리면 나의 온 세상이 너로 가득해 익숙한 웃음도 내게 특별한 마음을 갖게 해 너의 옆에 나란히 앉아 너의 맘을 봐 말하지 않아도 나는 알 것 같아 마치 언젠가 우리 같이 걸었던 것처럼 너의 길에 난 늘 이렇게 함께 할게 ,1902
커피소년,장가갈 수 있을까,2011-07-15,장가갈 수 있을까 장가갈 수 있을까 올해도 가는데 장가갈 수 있을까 누굴 만난다는 건 어려운 일이야 남들처럼 그렇게 장가 갈 수 있을까 내 친구들 하나 둘 씩 떠나가고 설마했던 그 친구마저 떠난다 운명적인 사랑도 잘 모르겠고 여자 맘은 진짜 진짜 모르겠다 장가갈 수 있을까 장가갈 수 있을까 통장 잔고 없는데 장가갈 수 있을까 누굴 만난다는 건 어려운 일이야 남들처럼 그렇게 장가갈 수 있을까 시집갈 수 있을까 시집갈 수 있을까 올해도 가는데 시집갈 수 있을까 누굴 만난다는 건 어려운 일이야 남들처럼 그렇게 시집갈 수 있을까 이러다 평생 혼자 사는 거 아냐 다시 사랑이란걸 할 수 있을까 소녀 같던 내 순수함 어디갔나 여자 맘은 내도 내가 모르겠다 장가갈 수 있을까 시집갈 수 있을까 장가갈 수 있을까 시집갈 수 있을까 올해도 가는데 올해도 가는데) 장가갈 수 있을까 시집갈 수 있을까 누굴 만난다는 건 누굴 만난다는 건 어려운 일이야 어려운 일이야) 남들처럼 그렇게 남들처럼 그렇게 장가갈 수 있을까 시집갈 수 있을까 언젠간 우리도 장가갈거야 시집갈거야 우린 꼭 갈거야,17302
김제훈,Love Road,2017-07-24,매일 마다 만드는 우리의 부드럽고 예쁜 스토리 오늘은 유난히 멋 좀 부리고 제일 먼저 네게 전활 걸어 지금 어디야 오늘 뭐 할래 퉁명스런 너의 말투 나와 갈 곳이 있어 널 위한 Drive 너와 나만의 Love Road 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 모든 게 그림인 걸 내게 가까이 와줘 한 손엔 널 품고 달려 너무나도 특별한 널 위한 Drive 너와 나만의 Love Road 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 달리는 풍경들이 눈이 부셔 예쁜 걸 그 옆엔 So Beautiful Girl 지금 누비고 있는 이 하늘아래 You're My Sunshine Of My Life 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 언제까지나 I Just Wanna Love You Forever ,150
준호 (2PM),어차피 잊을 거면서 (Feat. CHEEZE),2017-09-11,여느 때랄 것 없이 높디높은 하늘 조금 시원한 바람 신기하게도 이별이란 아픔보다 지금 떠있는 이 별이 더 예뻐 근데 있잖아 퇴근길 버스 안에서 한참 길었던 해가 짧아지고 적적한 하늘에 노을 빛이 스며들면 내 마음도 그날에 스며들어 단지 하루에 스치는 노을일 뿐인데 왜 내 맘까지 젖어들까 잔잔한 물가에 돌 하나 던진 듯 왜 내 맘은 일렁일까 단지 한쪽의 지나간 추억일 뿐인데 왜 내 맘은 널 다시 쓸까 어차피 되돌리지도 못할 거면서 요즘엔 하루가 참 길어 너와 있을 때는 하루가 너무 짧아서 내 삶에 많이 소홀했었는데 내 일도 내 삶도 날 위해 쓸 수 있어 근데 말이야 퇴근길 지하철에서 너와 나누던 심심한 농담과 위로가 됐었던 실없는 웃음소리도 이제는 더 이상 들을 수 없어 단지 하루에 스치는 노을일 뿐인데 왜 내 맘까지 젖어들까 잔잔한 물가에 돌 하나 던진 듯 왜 내 마음은 일렁일까 단지 한쪽의 지나간 추억일 뿐인데 왜 내 맘은 널 다시 쓸까 어차피 되돌리지도 못할 거면서 Hey yeah yeah 어차피 다 잊을 거면서 Hey yeah yeah 어차피 다 잊을 거면서 단지 하루에 스치는 노을일 뿐인데 왜 내 맘까지 젖어들까 잔잔한 물가에 돌 하나 던진 듯 왜 내 맘은 일렁일까 단지 한쪽의 지나간 추억일 뿐인데 왜 내 맘은 널 다시 쓸까 어차피 되돌리지도 못할 거면서 어차피 내일이면 다 잊을 거면서 ,13468
박재범,하루하루,2020-08-29,혼자 있어도 난 슬프지 않아 그대와의 추억이 있으니 하지만 깊은 허전함은 추억이 채울 수 없는 걸 언젠간 나 없이도 살아갈 수 있을 거야 차가운 그대 이별의 말에 할 말은 눈물뿐이라서 바라볼 수 없던 나의 그대 하루하루 지나가면 익숙해질까 눈을 감아야만 그댈 볼 수 있다는 것에 더이상 그대의 기쁨이 될 수 없음에 나는 또 슬퍼하게 될 거야 언젠간 나 없이도 살아갈 수 있을 거야 차가운 그대 이별의 말에 할 말은 눈물뿐이라서 바라볼 수 없던 나의 그대 하루하루 지나가면 익숙해질까 눈을 감아야만 그댈 볼 수 있다는 것에 나 이제 그대에 기쁨이 될 수 없음에 나는 또 슬퍼하게 될 거야 하루하루 지나가면 잊을 수 있을까 그대의 모습과 사랑했던 기억들을 끝내 이룰 수 없었던 약속들을 나는 또 슬퍼하고 말 거야 ,8253
XIA (준수),요즘,2020-11-10,조금 시간을 갖게 되는 우리에게 지금보다는 더 나아질까 조금 시간을 갖게 되면 우린 어떨까 혹시 우리 그렇게 끝이 날까 요즘 네가 없는 내가 생각나 내가 없는 넌 괜찮을까 매일 반복되는 하루하루의 시간은 싫어 우리 왜 이렇게 서로에게 나쁜 사람으로 변하는지 이런 아픈 실수를 우린 몰라 많은 후회로 남을 거 같아서 이젠 서로를 추억으로 보내줄까 그래야만 웃을 수 있을까 너무 복잡해진 지금이 그저 싫어서 계속 나도 모르게 바보같이 요즘 네가 없는 내가 생각나 내가 없는 넌 괜찮을까 매일 반복되는 하루하루의 시간은 싫어 우리 왜 이렇게 서로에게 나쁜 사람으로 변하는지 이런 아픈 실수를 우린 몰라 많은 후회로 남을 거 같아서 굳이 헤어져 있어야 익숙해져 버린 소중함을 깨닫는 건 아니야 요즘 네가 없는 나를 생각해 네가 없는 난 괜찮을까 그냥 예전처럼 너와 매일을 웃고 싶은데 우리 왜 이렇게 모질게 차갑게 서로만을 탓하는지 이런 아픈 실수를 우린 몰라 너는 어떤 생각을 할까 요즘 ,6978
태연 (TAEYEON),겨울나무 (I'm all ears),2017-12-12,어제보다 많이 지쳐 보이는 그대의 표정 만져 보곤 알죠 바람이 또 아프게 했나요 왜 아무 말 못해요 좀 솔직해져도 돼요 내게 전부 말해봐요 밤을 새도 괜찮아요 차갑던 그대 하루가 나로 인해 녹을 수 있게요 I am all ears I am all ears 듣고 있죠 두 눈 꼭 감아요 춥지 않게 다 덮어줄게요 눈치 보지 마요 혼자 견디지 않아도 되죠 왜 아무 말 없어요 좀 표현을 해도 돼요 내게 전부 말해봐요 밤을 새도 괜찮아요 차갑던 그대 하루가 나로 인해 녹을 수 있게요 걱정이죠 혹시 또 애써 서 있을까 봐 좀 더 참아요 여기 항상 내가 이 자리에 천천히 다 말해봐요 매일 나 귀 기울여요 차갑던 계절 지나면 또 피어날 거란 걸 알아요 I am all ears I am all ears 듣고 있죠 ,17817
김제훈,내가 뭘 하는지,2015-04-27,울리지 않는 전화기를 바라보며 혼자 멍하니 방 안을 서성이다가 내가 뭘 하는지 모르겠어 특별할 게 없잖아 의미 없는 하루의 일상들 사랑이란 게 나를 이렇게 만들었나 무기력한 하루가 지겨워 미친 듯이 밤하늘을 걷고 뛰어 보다 문득 잊었던 얼굴이 생각나면 내가 뭘 하는지 내가 뭘 하는지 모르겠어 알고 싶어 누가 날 좀 잡아줘 뭘 해야 할지 웃어야 울을지 너 하나 내 곁에 없는데 허무한 세상이 돼 버린 걸 우 지쳐 가는 내 자신이 싫어져 우리가 왜 이런 이별을 만들었을까 생각하다 뒤를 돌아보면 너의 환했던 그 모습에 다시 한 번 무너져 내가 원하던 삶은 이게 아닌데 내가 뭘 하는지 내가 뭘 하는지 모르겠어 알고 싶어 누가 날 좀 잡아 줘 뭘 해야 할지 웃어야 울을지 너 하나 내 곁에 없는데 허무한 세상이 돼 버린 걸 우 지쳐가는 내 자신이 싫어져 꼬여가는 내 삶의 끝에 니가 나를 맞아 줬으면 그럴 리가 없잖아 나만 혼자 하는 기대 뿐인 걸 내가 뭘 하는지 내가 뭘 하는지 모르겠어 그리워져 날 이렇게 만든 너 돌아가고 싶어 좋았던 그때로 우리 앞에 따뜻이 비추던 그 날의 그 모습을 간직한 채 다시 한 번 나를 안아줘 ,93
이적,당연한 것들,2020-06-21,그때는 알지 못했죠 우리가 무얼 누리는지 거릴 걷고 친굴 만나고 손을 잡고 껴안아주던 것 우리에게 너무 당연한 것들 처음엔 쉽게 여겼죠 금세 또 지나갈 거라고 봄이 오고 하늘 빛나고 꽃이 피고 바람 살랑이면은 우린 다시 돌아갈 수 있다고 우리가 살아왔던 평범한 나날들이 다 얼마나 소중한지 알아버렸죠 당연히 끌어안고 당연히 사랑하던 날 다시 돌아올 때까지 우리 힘껏 웃어요 잊지는 않았잖아요 간절히 기다리잖아요 서로 믿고 함께 나누고 마주보며 같이 노래를 하던 우리에게 너무 당연한 것들 우리가 살아왔던 평범한 나날들이 다 얼마나 소중한지 알아버렸죠 당연히 끌어안고 당연히 사랑하던 날 다시 돌아올 거예요 우리 힘껏 웃어요 당연히 끌어안고 당연히 사랑하던 날 다시 돌아올 거예요 우리 힘껏 웃어요 ,28204
이우,어차피 헤어진 사이,2020-11-10,너를 사랑했던 날 너를 미워했던 날 그땐 철이 없었고 그땐 널 참 힘들게 했지 이제 와 무슨 소용 있겠어 시간도 시간 나름인 것 같아 하루에도 몇 번씩 그래 너로 힘들어하는 나 그리워도 흔들리지는 말자 담담히 잘 견뎌 내보자 어차피 우린 헤어진 사이야 사랑했던 널 가끔 아니 자주 보고 싶기는 하지만 um 어차피 헤어진 사이야 그만 놓아주자 안부도 묻지 못한 사이지만 혹시 널 마주칠까 사실 기대를 해보기도 해 그리워도 흔들리지는 말자 담담히 잘 견뎌내 보자 어차피 우린 헤어진 사이야 사랑했던 널 가끔 아니 자주 보고 싶기는 하지만 um 어차피 헤어진 사이야 그만 놓아주자 이대로 서로를 아쉬워하고 좋은 기억만 갖고 살아가자 언젠가 스치듯 만나게 되면 환하게 웃어줄 수 있니 헤어짐에 연연하지는 마요 괜한 소란 피우지 마요 어차피 우린 헤어진 사이야 사랑했던 널 가끔 아니 자주 보고 싶기는 하지만 슬픈 이별의 끝에서 서로를 놓아주자 ,11745
권진아,여기까지,2016-07-18,Hey baby baby 니 말이 다 맞는 것 같애 니 옆에서 웃고 있는 여자 정말 예쁜 것 같애 우린 오랜 시간 서로 잘 맞는다 생각했지만 지금 곁에 있는 사람이 더 어울리는 것 같애 내가 알던 너의 미소 내 손을 꼭 잡아 주던 너 이제 그 옆자리는 내가 아냐 나를 제일 친한 친구라고 소개하는 너를 보면서 그저 웃음만 짓는 내가 싫어 예뻐 보여 착해 보여 그래 니 말대로야 좋아 보여 편해 보여 나와 있을 때보다 사실 난 좀 아프다 니 앞에선 웃지만 Baby i'll be Okay 할 말은 참 많지만 여기까지 Baby baby 니 말이 다 맞는 것 같애 지금 곁에 있는 사람 널 채울 수 없을 것 같애 너가 없는 하루 괜찮을 거라고 생각했지만 널 닮은 사람 찾는 걸 보면 널 못 잊는 것 같애 나도 내가 왜 이러는지 잘 모르겠어 이 자리에 너를 왜 불렀을까 바보처럼 널 이제 친한 친구라고 부를 수 밖에 없는 내가 여전히 너를 찾는 내가 싫어 예뻐 보여 착해 보여 그래 넌 그대로야 좋아 보여 편해 보여 내가 있을 때 보다 사실 난 좀 아프다 니 앞에선 웃지만 Baby i'll be okay 할 말은 참 많지만 넌 괜찮니 안 보이니 바로 니 앞에 내가 끝난 거니 친군 거니 지금 난 너무 아파 사실 널 볼 때면 나 아직 흔들리지만 그래 I'll say Good Bye 할 말은 참 많지만 여기까지 ,75305
권진아,시계 바늘,2019-09-19,구름이 덮지 못한 하늘 틈이 보이면 비가 꼭 안 올 것 같아 아주 가끔은 웃던 너의 얼굴을 보며 괜찮다 믿은 것처럼 모를 리 있니 넌 떠나가고 있음을 아니 어쩜 이미 떠나갔음을 해질녘 노을이 더 아름다운 것처럼 이 사랑도 끝자락이 예뻐 서로를 보다 가만히 걷다 나는 너만 넌 먼 곳을 바라보다 너의 마음의 시계 바늘이 이젠 나를 지나가고 있잖아 희미해지다 끝나버린 노래처럼 자연스레 멀어지고 싶은데 눈치도 없이 내 마음이 너를 부른다 흐트러진 마지막은 싫은데 서로를 보다 가만히 걷다 나는 너만 넌 먼 곳을 바라보다 너의 마음의 시계바늘이 이젠 나를 지나가고 있잖아 잘 지낼 수 있어 난 잘 그러니까 괜찮은 척이 난 참 쉬워 너도 알고 있잖아 울기라도 할까 봐 아무 말이나 하는 마음을 뜨거운 정오 아련한 오후 서늘했던 저녁이 지나가고 나란했었던 시계바늘이 둘이 되어 멀어지고 있잖아 이젠 나를 지나가고 있잖아 ,32435
어쿠스틱 콜라보,얘랑 있을 때 좋다(with 김국헌 of 비오브유),2020-11-03,블랙커피 위에 휩크림 네가 좋아하는 아인슈페너 말투만 봐도 다 알아 오늘은 뭐가 또 문젠데 집에 가는 길에 심심해 아님 어제 마셨던 게 속이 불편하니 들어가기 전에 전화해 이따 집 앞에 정류장에서 봐 너와 함께 걷는 거리 너 그 자주 가는 카페 니가 자주 듣는 음악 왜 이게 다 좋을까 너는 아무렇지 않은데 나만 혼자서 이러는 건지 궁금해 좋아하는 건 아니지만 왜 자꾸 날 신경 쓰이게 하는데 얘랑 있을 때가 좋다 맨날 티격태격하지만 얘랑 있을 때가 좋다 표현이 잘 되진 않지만 옆에 있을 때 먼저 다가가지 못해도 너랑 있을 때가 좋다 오늘따라 더 네가 예뻐 보인다 우린 그냥 친구인데 안 좋아한다 널 좋아한다 안 좋아한다 널 좋아한다 네 입술 위에 휩크림 너만 좋아하는 민트 초콜릿 짧은 단발이 잘 어울려 그 말에 왜 난 설레는데 나는 아무 일도 없을 때 딱히 전화할 사람 너 말곤 없는데 왜 들어가기 전에 잠깐 봐 오늘은 너네 집 앞에서 만나 너와 같이 먹는 브런치 너와 자주 가는 산책 니가 좋아하는 영화 왜 난 이게 다 좋을까 너는 아무렇지 않은데 나만 혼자서 이러는 건지 궁금해 좋아하는 건 아니지만 왜 자꾸 날 신경 쓰게 하는데 얘랑 있을 때가 좋다 맨날 티격태격하지만 얘랑 있을 때가 좋다 표현이 잘 되진 않지만 옆에 있을 땐 먼저 다가가지 못해도 너랑 있을 때가 좋다 미쳤나 봐 나 니가 신경 쓰인다 우린 그냥 친구인데 얘랑 있을 때가 좋다 맨날 티격태격하지만 얘랑 있을 때가 좋다 표현이 잘 되진 않지만 옆에 있을 땐 먼저 다가가지 못해도 너랑 있을 때가 좋다 오늘따라 더 니가 신경 쓰인다 우린 그냥 친구인데 안 좋아한다 널 좋아한다 안 좋아한다 널 좋아한다 안 좋아한다 널 좋아한다 안 좋아한다 널 좋아한다 ,4034
권진아,운이 좋았지,2019-09-19,나는 운이 좋았지 다른 사람들은 그렇게 어려운 이별을 한다는데 나는 운이 좋았지 말 한마디로 끝낼 수 있던 사랑을 했으니까 나는 운이 좋았지 서서히 식어간 기억도 내게는 없으니 나는 운이 좋았지 한없이 사랑한 날도 우리에겐 없던 것 같으니 나는 운이 좋았지 스친 인연 모두 내게 많은 것들을 가르쳐줬으니 후회는 하지 않아 덕분에 나는 조금 더 나은 사람이 되었으니까 참 많이도 아팠지 혼자서 울음을 삼킨 날도 정말 많았지 이젠 웃어 보일게 긴 터널이 다 지나가고 단단한 마음을 갖게 됐으니 아주 자잘한 후회나 여운도 내게 남겨 주지 않았으니 나는 운이 좋았지 내 삶에서 나보다도 사랑한 사람이 있었으니 내게 불었던 바람들 중에 너는 가장 큰 폭풍이었기에 그 많던 비바람과 다가올 눈보라도 이제는 봄바람이 됐으니 나는 운이 좋았지 나는 운이 좋았지 나는 운이 좋았지 넌 내게 전부였지 나는 운이 좋았지 내 삶에서 나보다도 사랑한 사람이 있었으니 ,48867
성시경,첫 겨울이니까,2019-12-09,무얼 고를까 추운 겨울이니까 캐시미어 스웨터는 어떨까 처음이니까 초록이 날까 다홍색은 어떨까 보라 빛 밤 구름 사이로 하얀 눈이 내리면 크리스마스 온 세상이 반짝이네 크리스마스 그중 제일 반짝이는 숨막히게 예쁜 너와 우리 둘만의 첫 겨울이니까 뭐가 좋을까 로즈 골드 빛 목걸인 어떨까 언젠가 풀 반지 곱게 엮어 고백을 할 땐 눈이 오면 좋겠어 크리스마스 온 세상 포근해 지네 크리스마스 그 중에 가장 따듯한 너의 품 속에서 항상 너의 곁에서 사랑해 있잖아 널 보면 나의 맘에 눈처럼 가득히 날리고 영원토록 녹지 않아 우리의 겨울이 우리 사랑이 하얗게 쌓여가 크리스마스 사랑만 가득히 크리스마스 온 세상 환희 반짝이네 크리스마스 그 중에 제일 반짝이는 숨막히게 예쁜 너와 멋진 너와 크리스마스 사랑만 가득히 온 세상 메리 크리스마스 그 중에 가장 따듯한 잠든 너의 품속에서 내 품속에서 잠든 네 꿈속에서 항상 너의 곁에서 늘 우리 둘이서 ,58622
폴킴,너도 아는,2020-10-27,어질러진 책상을 바라보다 변한 것 없이 변해버린 나를 봐 울 수도 없고 웃을 수도 없는 너도 다 아는 그런 맘일 거야 그때 넌 무슨 생각이었을까 잔인하다 해도 모두 말해줘 바보같이 난 좋았던 일만 그런 것밖엔 안 떠올라서 후회한다고 뭐가 달라질까 돌아간다고 뭘 할 수 있을까 버틸 힘도 견딜 힘도 없어 어둑해진 밤하늘 바라보다 쓸쓸하게 날 비추던 달빛과 그 옆에 조용히 빛나던 그 별빛에 취해 난 너를 떠올리며 웃고 있었어 그때 넌 무슨 생각이었을까 잔인하다 해도 모두 말해줘 바보같이 난 좋았던 일만 그런 것밖엔 안 떠올라서 후회한다고 뭐가 달라질까 돌아간다고 뭘 할 수 있을까 버틸 힘도 견딜 힘도 없어 차라리 모진 말로 날 다신 뒤돌아볼 수도 없게 날 밀어내 지나쳐버린 시간을 원망해 붙잡을 수 없단 것도 알지만 다가갈수록 멀어지는 게 모두 내 탓인 것만 같은데 여기서 포기하라고 말해줘 그게 더 나을 거야 지금의 난 버틸 힘도 견딜 힘도 없어 너도 아는 그런 맘인 거야 ,54942
반하나,겨울 끝,2019-03-02,잘 지내 너무 오랜만이야 그동안 넌 어떻게 지냈니 이별 후 다시 돌아온 겨울은 더 차갑더라 매일 너를 맘에 켜둔 채 하루하루를 견뎌내도 네가 그리워 계절이 지나고 시간이 흐르고 나면 조금은 희미해질까 무뎌질까 아픈 기억 그 이별까지도 또다시 멀어진 겨울 끝에 서서 예전에 네 모습 기다리고 있어 너의 숨결이 다시 불어오는 그날을 거짓말 모두 거짓말처럼 무색해져버린 지난날들 이별 후 다시 돌아온 겨울은 더 괜찮더라 사랑을 놓고 난 후에야 나 더 이상 아프지 않게 네가 싫어져 계절이 지나고 시간이 흘러간 후엔 조금은 희미해지던 무뎌지던 아픈 기억 그 사랑까지도 어느새 익숙해져 버린 사랑의 반도 안 된 말로 상처만 남아서 바보 같은 날 후회하고 있어 단 한 번만이라도 예전으로 나 돌아간다면 나 아프지 않게 다시는 힘들지 않게 널 알기 전 그때로 난 가고 싶어 더 이상 나 초라하지 않게 이미 늦어버린 걸 알아 하지만 이대로 끝낼 순 없잖아 이제 너를 지워내려 해 내 곁에 다시 돌아와 줘 차가운 계절 끝에선 우리 ,5712
