가수명,노래제목,발매일,가사,좋아요수
헨리 (HENRY),RADIO,2020-11-18,아무리 밝게 빛나도 난 언제나 부족해 참 쉽지 않아 난 계속 싸우려 해도 이젠 어쩔 수 없나봐 I did it for you you Cause in my mind Nothing lasts 내 머리 속의 fairytales 난 믿지 않는 fairytales oh 오늘도 난 널 찾아가 난 믿지 않는 fairytales 뻔한 fairytales of you and I 이 노래 on the radio 아프게 계속 들어도 이젠 내 맘속엔 자꾸 내 맘속엔 Imma’ keep it playing on and on and on 이 노래 on the radio 아프게 계속 들어도 이젠 내 맘속엔 자꾸 내 맘속엔 끝이 없는 노래 on and on and on 아무리 내가 노력해봐도 넌 언제나 더 원하는데 I do it for you you Cause in my mind Nothing lasts 내 머리 속의 fairytales 난 믿지 않는 fairytales oh 오늘도 난 널 찾아가 난 믿지 않는 fairytales 뻔한 fairytales of you and I 이 노래 on the radio 아프게 계속 들어도 이젠 내 맘속엔 자꾸 내 맘속엔 Imma’ keep it playing on and on and on 이 노래 on the radio 아프게 계속 들어도 이젠 내 맘속엔 자꾸 내 맘속엔 끝이 없는 노래 on and on and on 몰라줘도 돼 널 위한 이 노래 모두 들을 수 있게 I'm without your love I’m without your love 널 위한 이 노래 널 가질 수 있게 이 노래 on the radio 아프게 계속 불러도 이젠 내 맘속엔 자꾸 내 맘속엔 끝이 없는 노래 on and on and on ,17413
김제훈,잠잠,2020-03-17,오랜만에 거길 가봤어 아무도 없는 둘만이 알던 곳 함께 걷던 거리에 서서 아무 말도 못한 채 한참을 니 생각했어 이런저런 story 떠오른 memory 여전히 넌 예쁜지 이런 내 맘을 너는 알까 애써 멀어지는 나인데 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 우린 끝난사이잖아 흔한 추억팔이잖아 그냥 모르는 척 지나쳐야 해 잠잠 잠잠 마지막을 기억해 돌아섰던 순간도 넌 아직 나를 미워할 거야 아무렇지 않은 듯 하루 끝을 정리하다 문득 너를 생각했어 그 날 그 때 우리 떨리던 목소리 여전히 들리는지 이런 내 맘을 너는 알까 다시 다가가고 싶은데 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 대체 왜 이러는거야 서로 원하고 있잖아 그냥 모르는 척 지나치기엔 점점 점점 친구들은 내게 말해 이젠 좀 잊으라고 다른 더 좋은 사람 만나라고 남이 되고야 알았어 갈 곳을 잃은 것처럼 갈수록 허전함뿐인걸 잠잠하던 바람아 나를 간지럽혀 왜 잠잠한 너 때문에 내 맘이 타들어가 대체 왜 이러는거야 서로 원하고 있잖아 애써 외면하는 우리 둘 사이 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 우린 끝난사이잖아 흔한 추억팔이잖아 그냥 모르는 척 지나쳐야 해 잠잠 잠잠 ,548
죠지,바라봐줘요,2019-02-21,그대를 다시 볼 수 있다는 생각을 해요 아마도 우린 끝없이 멀리 돌아만 왔죠 엊그제부터 또 생각이 나서 이제 더는 안될 것 같아 그대에게 말해요 아무런 의미 없는 일상에 들어와줘요 그대와 함께하고 싶은 게 참 많은걸요 익숙해질 즘 그댈 기다리는 게 왠지 마주칠 것만 같아 마음이 떨려요 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 혼자서 잠 못 이루고 널 떠올렸던 밤 별들이 반짝이던 그날에 기도했었죠 그대를 다시 다시 볼 수 있다면 어디에 있건 당장이라도 달려갈 텐데 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 ,70395
솔지,오늘따라 비가 와서 그런가 봐,2020-07-09,비가 와 비가 와 비 냄새 가득한 이런 날 한동안 늘 이럴 것 같아 축 처진 채 멍하니 비 따라 쏟아져 내리는 너와의 기억들 속엔 좋았던 일만 가득 담겨 있나 봐 정말 오늘따라 비가 와서 그런가 봐 콕 집어 보고 싶어진 것도 아니야 딱히 네가 그리워진 것도 아니야 그냥 기분이 좀 그래 지금 이 마음을 어떻게 설명할까 그때의 우리가 정말 너무나 좋아 보여서 그래 조금 먹먹할 뿐이야 뭔가 좀 찌뿌둥한 기분에 애써 눈을 뜨면 오늘도 날이 흐려 흠뻑 비가 올 것만 같아 무심코 열어본 사진첩 속에 환히 웃고 있는 우리 모습이 어색하기만 해 정말 오늘따라 비가 와서 그런가 봐 콕 집어 보고 싶어진 것도 아니야 딱히 네가 그리워진 것도 아니야 그냥 기분이 좀 그래 지금 이 마음을 어떻게 설명할까 그때의 우리가 정말 너무나 좋아 보여서 그래 이 비 따라 잠시나마 우리 참 좋았던 그때로 이 마음 찾아가면 함께 조금만 머물러 줄래 아마도 비가 내리는 날이면 난 오랫동안 네 생각이 날 것 같아 울고 웃었던 우리의 추억이 참 예쁘잖아 정말 그냥 조금 울적한 기분일 뿐이야 그때로 돌아가고 싶진 않아 하루 종일 멍하고 조금 먹먹할 뿐이야 ,29810
Sondia,Always Remember,2020-11-05,No way Don’t forget 살며시 미소 지은 표정까지 햇살보다 따뜻한 너의 품 기억에 간직해 바램이 뭐냐고 내게 물으면 한가지 나의 소원은 영원히 너의 곁에서 잠이 들길 너를 꼭 품에 안고 Always Remember 마지막 너의 눈물 날 향한 너의 손길이 비록 내게 멀어져도 너의 맘 기억할게 No way Don’t forget 처음 본 그 순간 떨린 느낌 나를 보던 네 눈빛 한없이 수줍은 네 모습 마지막 순간도 서로 지키자던 지난 날 우리의 약속 저물어가는 저 햇살 속에 가려 무색해진다 해도 잊지 않을게 마지막 너의 눈물 날 향한 너의 손길이 비록 내게 멀어져도 언제든 내가 떠오를 때 나를 향한 미소 저 하늘 향해 환하게 비춰줄래 잊지 않을게 내게 주었던 사랑 기억할게 멀어져도 영혼은 어디라도 너와 함께 Always Remember Everyday Every Moment Always Remember Everyday Every Moment I’ll remember you 너의 모든 것 너의 사랑도 ,1458
스트레이 (The Stray),은하수,2020-11-16,너를 잃던 날 내겐 왜가 필요했어 핑계 없이는 버틸 수가 없어서 거울에 비춰진 내 모습이 슬퍼 보이진 않아 시들어 갔었던 네 마음을 이제야 알 것 만 같아 사랑을 당연하게 받아왔었던 나는 널 잊지 못할 용기는 있나 봐 은하수를 너에게 줄게 그저 내 마음일 뿐이야 모든 걸 줄 수 있지만 너 아니면 내 마음을 채울 수가 없을 것 같아 비어버린 날 메워줘 미워하진 않겠지만 사랑하진 않겠지만 다시 날 바라봐 줘 너와 나의 세계가 이젠 같지 않더라도 함께 건너왔던 다리가 무너질지라도 은하수를 너에게 줄게 그저 내 마음일 뿐이야 모든 걸 줄 수 있지만 너 아니면 내 마음을 채울 수가 없을 것 같아 비어버린 날 메워줘 미워하진 않겠지만 사랑하진 않겠지만 다시 날 바라봐 줘 ,1781
김제훈,너만 생각하면,2018-01-29,오늘도 어김없이 빗나가는 말투들에 긴 싸움 끝에 결국 널 울리고 말았어 처음에 약속했던 너의 행복을 위해 나를 다 주겠단 그 약속 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 자주 일어나는 사소한 다른 입장 속에서 이해라는 두 글자가 오해로 변했어 억지로 참아 봐도 마주 보는 얼굴 속에서 어둡게 피어난 미움들 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 익숙함에 빠져 너를 힘들게 했지만 오직 내가 기댈 사람 너뿐이니까 난 너만 생각하면 매일 새로운 설레임을 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 믿어줘 ,375
CNBLUE (씨엔블루),"과거 현재 미래 (Then, Now and Forever)",2020-11-17,오늘 날씨 맑음 오후에는 먹구름 내 마음은 계속 비가 내릴 예정 친구들아 미안해 오늘도 난 빠질게 너희 맘은 아는데 시간 조금만 줄래 계속 맘이 쓰릴 예정 하루의 시작과 끝에 이젠 이별의 끈에 서로 묶여 있어 엉켜 있어 매듭처럼 말이야 어떤 날은 괜찮고 어떤 날은 미치도록 그리워 어떤 날은 또 정말 미워 언젠가는 이러다가 말겠지 잊혀지긴 하겠지 어떤 날은 다 무뎌지겠지 우린 과거 현재 미래에 있어 차마 버리지는 못할 너와 손가락 걸고 했던 약속 혼자서라도 지킬 예정 쉽게 헤어진 이별 어려운 문제를 주고 전혀 알 수 없게 날 시험해 바보처럼 말이야 어떤 날은 괜찮고 어떤 날은 미치도록 그리워 어떤 날은 또 정말 미워 언젠가는 이러다가 말겠지 잊혀지긴 하겠지 어떤 날은 다 무뎌지겠지 우린 과거 현재 미래에 있어 추억이 또 뚝뚝뚝 여전히 Nobody Nobody but you I can’t say Goodbye Baby You You 어떤 날은 괜찮고 어떤 날은 미치도록 그리워 어떤 날은 또 정말 미워 이젠 우리 행복했으면 좋겠다 그러면 참 좋겠다 보통날이 날 찾아오겠지 우린 과거 현재 미래에 있어 우린 과거 현재 미래에 있어 ,14456
산들,어른 일기,2020-11-14,그저 몸만 자라난 아이 어른이란 이름을 달고 끝내 곁을 내어 주지 않는 곳 세상 속을 헤매고 있어 때로는 상처 난 마음이 베어 문 저 달빛 같아 까만 하늘을 은은히 밝혀 주지만 쓸쓸히 웃는 것 같아 내일 할 걱정까지 모아 나의 머릿속을 채우네 편히 잠든 밤은 왠지 불안해 혼자 뒤척이는 건가 봐 가끔씩 내리는 눈물은 해 뜬 날 소나기 같아 흐린 마음을 깨끗이 씻어 주지만 내 꿈까지 지울 것 같아 혼자가 너무 익숙한 나는 누군가 내민 손길마저도 두려운 맘이 생겨 키 작은 내 자존심이 아이에서 어른이 되면 그땐 웃을 수 있을까 때로는 상처 난 마음이 베어 문 저 달빛 같아 까만 하늘을 은은히 밝혀 주지만 쓸쓸히 웃는 것 같아 내일 나의 일기는 맑음 미리 써 내려가는 행복 어설프게 그린 웃는 내 얼굴 모두 이뤄지면 좋겠다 ,10141
김제훈,내가 말하고 싶은건,2016-09-05,잘 지내 어떤 말부터 네게 꺼내야 할지 망설였지만 결국 이 노랠 쓰고 있어 사실 난 너의 빈자리가 너무 당연해진 것 같아 하지만 익숙한 괴로움 그동안 나 많이 변했어 다시 나를 봤다면 달라졌을 거야 니가 원한 상상 못할 나 그동안 나 많이 고민 했어 있잖아 니가 없는 하루를 살아가며 네게 전할 말이 있는데 내가 말하고 싶은 건 내가 말하고 싶은 건 아직 너야 바로 너야 오직 너야 I need you girl 내가 말하고 싶은 건 내가 말하고 싶은 건 아직 너야 니가 필요해 자꾸만 작아지는 하루 다시 나를 본다면 달라질 수 있어 니가 원한 상상 못할 나 그동안 나 많이 고민 했어 있잖아 니가 없는 하루를 이해하며 많이 보고 싶었던 내 마음 다 전해주고 싶어 내가 말하고 싶은 건 내가 말하고 싶은 건 아직 너야 바로 너야 오직 너야 I need you girl 내가 말하고 싶은 건 내가 말하고 싶은 건 아직 너야 니가 필요해 너를 향해 외치고 있는 이 바램이 끝나지 않길 너의 기억 한 켠에 있는 내 모습이 조금씩 커져가길 엉켜버린 시간들 속에 아직 내가 살아있다면 너를 위해 힘껏 달려 갈 수 있어 사랑해 내가 말하고 싶은 건 내가 말하고 싶은 건 아직 너야 바로 너야 오직 너야 I need you girl 내가 말하고 싶은 건 내가 말하고 싶은 건 아직 너야 니가 필요해 ,432
